"ISO3","Area","Item","Element","Unit","Year","value"
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,230.367001
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,2185.626482
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,5684.993205
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,7776.812561
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,9358.463776
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,10701.958834
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,10948.160986
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,14788.060265
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,19226.323979
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,22865.231818
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,27071.048622
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,33147.622763
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,38443.83985
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,45188.951642
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,53713.214772
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,64125.005327
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,75517.065415
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,72526.531034
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,86275.377415
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,98772.813603
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,105480.18367
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,119532.870719
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,131964.258386
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,146740.205237
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,159010.419061
"MDA","Republic of Moldova","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,176007.292884
