"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1308917.116761
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1497811.857498
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,2120178.317752
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,3129558.721003
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,3767090.367055
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,4191000.685612
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,4723126.202889
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,5429405.568364
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,6093054.683458
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,6929132.113793
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,6975307.851573
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,7869523.727837
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,9468050.020862
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,11716570.719626
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,13716737.151084
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,15974088.179614
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,18322512.46704
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,18812595.595562
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,20863367.561086
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,23393792.064529
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,25415464.299223
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,27417720.538512
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,30240583.633165
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,33216175.581725
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,37637585.995492
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,41058842.551972
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,45886302.01667
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,51035216.506307
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,49435649.383377
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,54978305.451717
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,62775451.594485
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,70297180.616022
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,77682000.053363
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1992,3511.106556
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1993,3913.223832
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1994,3456.05834
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1995,3668.341486
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1996,4637.84404
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1997,4116.180192
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1998,4339.993062
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1999,4320.178212
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2000,4501.715508
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2001,5258.509713
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2002,5104.91287
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2003,6354.960759
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2004,5066.222723
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2005,5849.435651
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2006,6402.803753
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2007,8524.620891
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2008,10725.137722
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2009,9616.879408
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2010,9982.711338
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2011,11551.819618
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2012,11578.975064
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2013,12423.555457
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2014,12522.957401
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2015,11323.0207
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2016,11848.61386
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2017,13176.313594
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2018,13760.033283
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2019,14104.664678
"MDG","Madagascar","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2020,13051.441203
