"ISO3","Area","Item","Element","Unit","Year","value"
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,3929.9581
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,4611.034236
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,5383.738476
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,6665.895431
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,7524.683066
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,8491.067566
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,9023.5159
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,9844.687217
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,10430.933983
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,10860.185852
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,11690.566258
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,13467.149516
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,15703.41843
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,14891.039159
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,20162.565004
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,23915.308286
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,29077.071208
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,30019.774447
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,33128.653548
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,40511.084367
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,44345.433581
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,50633.451385
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,56866.74646
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,63455.345611
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,67773.797493
"MDV","Maldives","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,74110.201546
