"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1348628.262
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1651777.887
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,1868526.36
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,2440392.364
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,3284161.831
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,4144914.169
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,5092988.045
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,6034995.117
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,7016603.942
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,7437107.662
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,7827757.972
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,8259533.147
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,9248389.798
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,9999598.962
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,11120115.77
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,12046753.157
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,12927761.287
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,12749117.922
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,13968149.524
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,15268436.667
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,16529124.025
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,16954005.68
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,18137650.611
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,19228614.674
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,20758790.506
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,22536210.256
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,24176670.374
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,25121823.305
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,24086758.133
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,26690033.392
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,29516052.289
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,31855566.301
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,34428621.93045
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value US$","million USD",1992,435758.502137
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value US$","million USD",1993,530160.820062
"MEX","Mexico","Central America",NA,"Gross Domestic Product","Value US$","million USD",1994,553618.302577
