"ISO3","Area","Item","Element","Unit","Year","value"
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,92.616749
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,101.928941
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,111.598478
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,125.101891
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,116.230929
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,109.994392
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,112.164803
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,113.405968
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,114.905144
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,122.453934
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,132.020081
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,131.249817
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,132.934555
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,137.666306
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,142.745178
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,149.869965
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,145.96907
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,150.624878
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,160.318512
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,171.567093
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,179.855804
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,185.468002
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,185.172867
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,182.997299
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,200.715988
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,212.701248
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,219.330307
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,232.09227
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,241.722351
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,259.538666
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,263.777471
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,269.9251
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,289.88435
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1992,92.616749
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1993,101.928941
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1994,111.598478
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1995,125.101891
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1996,116.230929
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1997,109.994392
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1998,112.164803
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",1999,113.405968
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2000,114.905144
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2001,122.453934
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2002,132.020081
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2003,131.249817
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2004,132.934555
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2005,137.666306
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2006,142.745178
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2007,149.869965
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2008,145.96907
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2009,150.624878
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2010,160.318512
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2011,171.567093
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2012,179.855804
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2013,185.468002
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2014,185.172867
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2015,182.997299
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2016,200.715988
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2017,212.701248
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2018,219.330307
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2019,232.09227
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2020,241.722351
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2021,259.538666
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2022,263.777471
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2023,269.9251
"MHL","Marshall Islands","Gross Domestic Product","Value US$","million USD",2024,289.88435
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1992,1996.588499
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1993,2164.395108
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1994,2339.026817
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1995,2591.952658
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1996,2383.002132
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1997,2232.980613
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1998,2256.06539
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",1999,2259.015527
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2000,2266.083125
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2001,2395.304103
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2002,2567.260372
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2003,2541.704678
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2004,2566.725331
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2005,2652.223365
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2006,2745.495562
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2007,2880.176131
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2008,2805.478954
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2009,2895.602103
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2010,3080.471375
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2011,3305.246698
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2012,3497.847177
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2013,3659.517413
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2014,3718.629348
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2015,3749.90623
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2016,4207.088558
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2017,4571.369426
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2018,4843.332384
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2019,5274.045198
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2020,5660.083383
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2021,6274.050958
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2022,6581.766874
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2023,6951.994746
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita","USD",2024,7720.367273
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1992,143.954037
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1993,153.764841
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1994,164.045155
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1995,178.873208
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1996,161.66843
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1997,153.477737
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1998,152.434967
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1999,150.354691
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2000,154.065857
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2001,164.721771
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2002,170.731247
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2003,168.109833
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2004,166.919754
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2005,169.879272
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2006,170.223312
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2007,175.997253
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2008,162.539795
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2009,168.510391
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2010,177.646423
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2011,177.100601
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2012,174.811203
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2013,181.243683
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2014,179.213852
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2015,182.997299
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2016,186.686661
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2017,193.053497
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2018,201.150223
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2019,222.953308
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2020,218.847397
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2021,221.287064
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2022,218.860991
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2023,210.269355
"MHL","Marshall Islands","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2024,215.802759
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1992,3103.293711
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1993,3265.096903
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1994,3438.272848
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1995,3706.026209
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1996,3314.575705
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1997,3115.729856
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1998,3066.053201
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1999,2995.023874
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2000,3038.384763
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2001,3222.099291
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2002,3320.037083
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2003,3255.513483
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2004,3222.917931
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2005,3272.825338
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2006,3273.997442
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2007,3382.286019
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2008,3123.963002
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2009,3239.431952
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2010,3413.421907
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2011,3411.849945
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2012,3399.739454
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2013,3576.166275
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2014,3598.9608
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2015,3749.90623
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2016,3913.028171
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2017,4149.100496
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2018,4441.873093
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2019,5066.372195
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2020,5124.451711
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2021,5349.362149
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2022,5461.012326
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2023,5415.544724
"MHL","Marshall Islands","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2024,5747.383591
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1992,143.954037
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1993,153.764841
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1994,164.045155
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1995,178.873208
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1996,161.66843
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1997,153.477737
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1998,152.434967
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",1999,150.354691
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2000,154.065857
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2001,164.721771
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2002,170.731247
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2003,168.109833
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2004,166.919754
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2005,169.879272
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2006,170.223312
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2007,175.997253
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2008,162.539795
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2009,168.510391
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2010,177.646423
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2011,177.100601
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2012,174.811203
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2013,181.243683
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2014,179.213852
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2015,182.997299
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2016,186.686661
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2017,193.053497
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2018,201.150223
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2019,222.953308
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2020,218.847397
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2021,221.287064
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2022,218.860991
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2023,210.269355
"MHL","Marshall Islands","Gross Domestic Product","Value US$, 2015 prices","million USD",2024,215.802759
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1992,11.213511
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1993,10.054544
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1994,9.486547
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1995,12.099997
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1996,-7.09099
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1997,-5.365643
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1998,1.973202
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",1999,1.106555
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2000,1.321955
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2001,6.569584
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2002,7.812037
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2003,-0.583445
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2004,1.283612
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2005,3.559459
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2006,3.689263
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2007,4.991263
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2008,-2.602853
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2009,3.189585
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2010,6.435613
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2011,7.016396
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2012,4.831178
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2013,3.120387
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2014,-0.15913
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2015,-1.174885
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2016,9.682487
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2017,5.971253
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2018,3.116606
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2019,5.818604
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2020,4.149247
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2021,7.37057
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2022,1.633208
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2023,2.330612
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency","%",2024,7.394366
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1992,7.958383
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1993,6.815234
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1994,6.685738
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1995,9.039007
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1996,-9.618421
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1997,-5.066353
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1998,-0.679428
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",1999,-1.364697
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",2000,2.468274
"MHL","Marshall Islands","Gross Domestic Product","Annual growth Standard Local Currency, 2015 prices","%",2001,6.916467
