"ISO3","Area","Item","Element","Unit","Year","value"
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,9781.043855
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,10624.046299
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,13019.013399
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,14430.409179
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,17150.804837
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,19146.035797
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,21411.651278
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,23634.854897
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,27219.616564
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,30625.79439
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,35302.751823
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,37267.277353
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,42693.441659
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,46223.734407
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,54148.842415
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,62357.555375
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,71026.303956
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,76184.185608
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,83795.110895
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,91420.836986
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,106863.600499
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,117423.148438
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,134835.96875
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,146018.65625
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,157707.671875
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,171570.015625
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,181067.046875
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,181210.796875
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,174243.078125
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,183292.3125
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,205548.5
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,227830.8125
"NAM","Namibia","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,246180.053077
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1992,3429.521483
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1993,3251.189247
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1994,3666.503185
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1995,3978.514201
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1996,3989.163051
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1997,4154.99025
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1998,3873.109745
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",1999,3868.551624
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2000,3922.231971
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2001,3557.341283
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2002,3349.169934
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2003,4926.439269
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2004,6609.2065
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2005,7248.375218
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2006,8001.720431
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2007,8839.53689
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2008,8607.43184
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2009,8938.847365
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2010,11431.41242
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2011,12523.359439
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2012,13042.053857
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2013,12043.307199
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2014,12435.430023
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2015,11335.161746
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2016,10722.018742
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2017,12887.501268
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2018,13682.019419
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2019,12541.676211
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2020,10583.748757
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2021,12402.486184
"NAM","Namibia","Gross Domestic Product","Value US$","million USD",2022,12567.270749
