"ISO3","Area","Item","Element","Unit","Year","value"
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,813093
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,855401
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,897242
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,963138
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,1054672
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,1141340
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,1163683
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,1266463
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,1509132
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,1566708
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,1564145
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,1624095
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,1788123
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,1997037
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,2224871
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,2360174
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,2622135
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,2439712
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,2605351
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,2809929
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,2983082
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,3090335
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,3161776
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,3130183
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,3116035
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,3323103
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,3576581
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,3596937
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,3461575
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,4323931
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,5708190
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,5126500
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,5573063.761178
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1992,130838.022523
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1993,120578.717966
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1994,127131.604641
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1995,152030.652228
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1996,163519.897878
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1997,161356.612879
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1998,154230.346261
"NOR","Norway","Gross Domestic Product","Value US$","million USD",1999,162384.295939
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2000,171456.390282
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2001,174240.242225
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2002,195915.371988
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2003,229384.929369
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2004,265267.350723
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2005,309978.579744
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2006,346913.357588
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2007,402645.550185
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2008,464917.553191
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2009,387974.344023
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2010,431052.14394
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2011,501360.54966899997
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2012,512777.309841
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2013,526014.468085
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2014,501736.471833
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2015,388159.512246
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2016,370956.547619
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2017,401745.275035
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2018,439788.625884
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2019,408742.840909
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2020,367633.418887
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2021,503367.98602999997
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2022,593726.965416
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2023,485310.823604
"NOR","Norway","Gross Domestic Product","Value US$","million USD",2024,519117.26708
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1992,30524.981513
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1993,27964.41954
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1994,29316.862008
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1995,34877.475065
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1996,37323.642513
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1997,36630.444356
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1998,34804.66089
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",1999,36394.452702
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2000,38178.906274
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2001,38602.898321
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2002,43172.051031
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2003,50252.259116
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2004,57770.519737
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2005,67049.592385
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2006,74437.035556
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2007,85505.350421
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2008,97505.810634
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2009,80348.866374
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2010,88164.831507
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2011,101224.265868
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2012,102178.270881
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2013,103543.617501
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2014,97663.596401
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2015,74793.186876
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2016,70847.546224
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2017,76134.226179
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2018,82795.391141
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2019,76432.954299
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2020,68342.578024
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2021,93076.842192
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2022,108804.941029
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2023,87931.896897
"NOR","Norway","Gross Domestic Product","Value US$ per capita","USD",2024,93087.487328
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1992,1823679
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1993,1875566
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1994,1970381
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1995,2052262
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1996,2155449
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1997,2269356
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1998,2329918
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1999,2378195
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2000,2457126
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2001,2507918
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2002,2542466
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2003,2566490
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2004,2669524
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2005,2741204
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2006,2808678
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2007,2890524
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2008,2904454
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2009,2848097
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2010,2870513
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2011,2902251
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2012,2981133
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2013,3011427
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2014,3073105
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2015,3130183
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2016,3166641
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2017,3244659
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2018,3271554
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2019,3308319
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2020,3266033
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2021,3393692
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2022,3495694
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2023,3512461
"NOR","Norway","Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2024,3566042.45748
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1992,52760.674639
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1993,53939.635006
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1994,56344.907496
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1995,58383.104804
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1996,61008.685866
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1997,63884.949144
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1998,65200.167979
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",1999,66096.601964
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2000,67848.107621
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2001,68900.961784
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2002,69475.203494
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2003,69722.153173
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2004,72093.616065
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2005,73526.910816
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2006,74732.670961
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2007,76118.018102
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2008,75536.970227
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2009,73142.875103
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2010,72805.735807
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2011,72662.435824
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2012,73663.373918
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2013,73508.657141
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2014,74177.970262
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2015,74793.186876
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2016,74996.519308
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2017,76249.803056
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2018,76375.974956
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2019,76714.661195
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2020,75290.026106
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2021,77816.013661
"NOR","Norway","Gross Domestic Product","Value US$ per capita, 2015 prices","USD",2022,79439.363947
