"ISO3","Area","Item","Element","Unit","Year","value"
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,160479.85108
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,184083.712859
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,213925.899138
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,235292.509452
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,267217.357843
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,301141.132447
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,322968.290207
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,367188.359818
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,407394.473946
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,441519
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,465632.632345
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,505583.04471
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,558735.869914
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,621821.955973
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,699346.449622
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,788676.282991
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,895757.572713
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,1099944.187241
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,1345434.7335
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,1559222
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,1758379
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,1949295
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,2232525
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,2423638
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,2608184
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,3077145
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,3455949
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,3858930
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,3888704
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,4352550
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,4976558
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,5348528
"NPL","Nepal","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,5862633.896534
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1992,3756.77067
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1993,3787.172382
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1994,4330.701346
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1995,4534.418924
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1996,4713.497173
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1997,5191.233802
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1998,4895.254796
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",1999,5380.887241
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",2000,5730.380115
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",2001,5890.90618
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",2002,5979.106917
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",2003,6640.050345
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",2004,7583.936379
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",2005,8712.956962
"NPL","Nepal","Gross Domestic Product","Value US$","million USD",2006,9612.268933
