"ISO3","Area","Item","Element","Unit","Year","value"
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1541524.165939
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1682420.868722
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,1932662.420869
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,2176583.797815
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,2481303.646194
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,2773375.100608
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,3046222.105561
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,3347587.1901
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,3697556.2
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,4024398.940184
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,4350559.772134
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,4717808.940485
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,5323904.1772
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,5917282.301168
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,6550417.112923
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,7198244.887764
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,8050200.620569
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,8390421.456271
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,9399450.758
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,10144661.33
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,11060588.83
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,12050591.98
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,13206828.25
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,13944157.447765
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,15132381.470173
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,16556651.083226
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,18265190.258162
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,19517863.171682
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,17951573.570013
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,19410614.486183
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,22028276.337656
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,24318611.399069
"PHL","Philippines","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,26578243.24211
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1992,60422.329033
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1993,62036.52991
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1994,73159.337837
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1995,84644.329825
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1996,94648.084429
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1997,94106.316501
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1998,74492.416329
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",1999,85640.170315
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2000,83669.788255
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2001,78921.157072
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2002,84307.346433
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2003,87039.092439
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2004,95002.00025
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2005,107419.977968
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2006,127652.927612
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2007,155980.408072
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2008,181624.627927
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2009,175974.754207
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2010,208368.892317
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2011,234216.730778
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2012,261920.542592
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2013,283902.82962
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2014,297483.553261
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2015,306445.871631
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2016,318627.003965
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2017,328480.738148
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2018,346841.89689
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2019,376823.404772
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2020,361751.145433
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2021,394087.362017
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2022,404353.370812
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2023,437146.370976
"PHL","Philippines","Gross Domestic Product","Value US$","million USD",2024,464510.323474
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1992,916.5157
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1993,918.642958
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1994,1059.983909
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1995,1199.841738
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1996,1311.092485
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1997,1273.276034
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1998,982.865944
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",1999,1101.435157
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2000,1050.79273
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2001,969.529661
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2002,1014.908806
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2003,1027.230113
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2004,1099.63013
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2005,1220.4602
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2006,1426.146506
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2007,1712.655426
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2008,1959.292363
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2009,1864.450416
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2010,2162.91375
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2011,2383.918918
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2012,2614.616447
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2013,2781.279587
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2014,2866.838018
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2015,2909.858198
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2016,2985.195649
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2017,3038.121248
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2018,3168.510383
"PHL","Philippines","Gross Domestic Product","Value US$ per capita","USD",2019,3400.789505
