"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,513394.06298
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,497964.754249
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,506229.911952
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,536819.631457
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,594190.603322
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,621533.66254
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,550407.857847
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,606438.9
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,710680.913335
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,690515.691468
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,711022.200902
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,809278.707167
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,970283.486359
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,1230771.342335
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,1411491.008274
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,1558827.275014
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,1949237.769867
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,1609117.122296
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,1980777.369487
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,2537379.664774
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,2781937.443537
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,2826992.037863
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,2874772.300202
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,2510566.429983
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,2497499.548853
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,2681230.106219
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,3174689.219096
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,3144617.644682
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,2753516.939794
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,3278085.434625
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,4157143.18982
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,4003436.198551
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,4147555.133701
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1992,136905.083461
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1993,132790.601133
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1994,134994.643187
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1995,143151.901722
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1996,158450.827553
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1997,165742.310011
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1998,146775.428759
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",1999,161717.04
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2000,189514.910223
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2001,184137.517725
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2002,189605.920241
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2003,215807.655245
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2004,258742.263029
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2005,328205.691289
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2006,376397.602206
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2007,415687.273337
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2008,519796.738631
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2009,429097.899279
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2010,528207.29853
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2011,676634.577273
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2012,741849.984943
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2013,753864.54343
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2014,766605.946721
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2015,669484.381329
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2016,665999.879694
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2017,714994.694992
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2018,846583.791759
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2019,838564.705249
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2020,734271.183945
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2021,874156.1159
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2022,1108571.517285
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2023,1067582.98628
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$","million USD",2024,1105614.575141
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1992,11714.629344
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1993,10870.342276
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1994,10587.782351
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1995,10772.011632
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1996,11456.201608
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1997,11529.945145
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1998,9836.054428
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",1999,10452.188554
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2000,11714.560939
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2001,10805.306497
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2002,10586.057634
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2003,11487.21656
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2004,13154.504493
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2005,15963.39724
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2006,17540.196487
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2007,18583.756523
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2008,22320.485782
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2009,17718.392877
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2010,20996.327086
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2011,25919.090575
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2012,27412.528819
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2013,26897.964003
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2014,26436.393877
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2015,22334.80454
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2016,21681.230277
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2017,23227.384757
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2018,27880.139378
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2019,27518.455435
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2020,23692.887597
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2021,27903.015393
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2022,34454.060814
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2023,32093.96389
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value US$ per capita","USD",2024,32553.735005
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1992,1150261.174716
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1993,1154630.318397
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1994,1165633.436389
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1995,1169266.392282
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1996,1207907.147941
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1997,1239884.358377
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1998,1274648.141257
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",1999,1266574.504166
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2000,1326333.763142
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2001,1330904.088627
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2002,1321742.038905
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2003,1437642.380099
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2004,1561724.96167
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2005,1654567.855764
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2006,1709392.241895
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2007,1747231.64169
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2008,1856224.301765
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2009,1836423.771517
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2010,1928970.216042
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2011,2141036.604404
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2012,2256843.477527
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2013,2314049.455615
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2014,2402247.663971
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2015,2510566.429983
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2016,2557877.87198
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2017,2581181.383944
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2018,2663759.230027
"SAU","Saudi Arabia","Western Asia",NA,"Gross Domestic Product","Value Standard Local Currency, 2015 prices","million SLC",2019,2693000.214102
