"ISO3","Area","Item","Element","Unit","Year","value"
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,84920.2
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,97923.1
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,112555.4
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,124463.3
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,135777.2
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,148664.4
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,143474.9
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,146252.5
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,165632.4
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,160885.6
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,165698.1
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,170117.9
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,194433
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,212723
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,236158.8
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,272697.6
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,273941.6
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,282394.5
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,326980.1
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,351367.9
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,368770.5
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,384870.3
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,398947.9
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,423444.1
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,440787.7
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,474012.4
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,508368.7
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,514153.4
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,482203.8
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,583221.5
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,687230.4
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,673300.3
"SGP","Singapore","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,707521.315248
"SGP","Singapore","Gross Domestic Product","Value US$","million USD",1992,52131.3307
"SGP","Singapore","Gross Domestic Product","Value US$","million USD",1993,60603.821967
"SGP","Singapore","Gross Domestic Product","Value US$","million USD",1994,73688.716391
"SGP","Singapore","Gross Domestic Product","Value US$","million USD",1995,87812.540788
"SGP","Singapore","Gross Domestic Product","Value US$","million USD",1996,96293.097895
"SGP","Singapore","Gross Domestic Product","Value US$","million USD",1997,100123.798454
"SGP","Singapore","Gross Domestic Product","Value US$","million USD",1998,85728.224856
