"ISO3","Area","Item","Element","Unit","Year","value"
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,3120909.345373
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,5019529.606839
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,6425324.372927
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,8786478.870339
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,12335052.55175
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,16675557.077585
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,21676264.076405
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,26609546.637937
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,32665590.794648
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,37872430.992307
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,43909230.689231
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,50227277.761525
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,57454541.882632
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,71425362.483067
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,70834771.852507
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,78234861.978368
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,85191613.939571
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,93054416.773685
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,84046818.062871
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,87083626.693417
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,91002972.188074
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,94876834.947088
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,117493495.938883
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,147492305.436137
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,170449647.863777
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,190604591.380627
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,191313900
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,210316500
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,209660400
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,230461200
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,247932900
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,266546700
"SOM","Somalia","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,292197255.719178
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1992,709.297578
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1993,1260.132956
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1994,1481.205098
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1995,1534.756135
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1996,1792.234297
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1997,2191.749013
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1998,2962.047564
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",1999,3045.751528
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2000,3412.79745
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2001,2252.847465
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2002,2192.684135
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2003,2836.724352
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2004,3859.592813
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2005,4683.246454
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2006,5026.743282
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2007,5430.713729
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2008,5913.620293
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2009,2948.594552
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2010,2687.807004
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2011,2906.000097
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2012,4041.702389
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2013,4920.027961
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2014,5807.617395
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2015,6627.605977
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2016,7391
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2017,8252
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2018,7873
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2019,8655
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2020,8628
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2021,9484
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2022,10203
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2023,10969
"SOM","Somalia","Gross Domestic Product","Value US$","million USD",2024,12024.578425
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1992,109.20491
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1993,188.603159
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1994,210.793795
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1995,210.673255
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1996,237.241457
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1997,280.112724
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1998,363.200013
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",1999,358.65876
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2000,386.119274
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2001,244.914843
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2002,229.598918
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2003,286.273025
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2004,375.410326
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2005,439.979908
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2006,457.996683
"SOM","Somalia","Gross Domestic Product","Value US$ per capita","USD",2007,479.635649
