"ISO3","Area","Item","Element","Unit","Year","value"
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,1653447.717
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1655117
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,1764662
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,1904968
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,1957833
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,2048077
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,2153545
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,2266545
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,2408790
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,2504799
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,2603441
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,2701423
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,2825999
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,2927141
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,3117514
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,3312151
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,3391889
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,3324151
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,3551531
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,3704835
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,3724512
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,3804994
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,3963683
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,4231745
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,4402732
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,4582907
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,4792294
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,5033443
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,5020978
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,5464876
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,5865211
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,6206525
"SWE","Sweden","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,6401730.814963
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1992,283910.548665
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1993,212646.315162
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1994,228702.548092
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1995,267054.022221
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1996,291954.353512
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1997,268252.17944
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1998,270890.65565
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",1999,274319.474682
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2000,262903.930105
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2001,242498.408426
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2002,267372.704533
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2003,334073.879033
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2004,384547.908844
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2005,391690.940805
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2006,422527.611846
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2007,490052.332007
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2008,514616.593413
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2009,434312.7173
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2010,492753.255886
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2011,570541.353129
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2012,549742.183874
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2013,584128.11641
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2014,577730.245154
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2015,501698.263621
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2016,514218.206628
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2017,536083.94022900006
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2018,551312.49843
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2019,532169.294166
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2020,545147.614972
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2021,637186.904844
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2022,579895.717344
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2023,584960.475767
"SWE","Sweden","Gross Domestic Product","Value US$","million USD",2024,606827.273881
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1992,32755.482104
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1993,24391.539007
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1994,26047.562535
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1995,30256.615083
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1996,33025.287074
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1997,30326.318649
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1998,30607.009185
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",1999,30969.652706
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2000,29632.657485
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2001,27259.197657
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2002,29957.569917
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2003,37291.561327
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2004,42756.95984
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2005,43377.729346
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2006,46530.685378
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2007,53567.733676
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2008,55815.854121
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2009,46706.620177
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2010,52542.233535
"SWE","Sweden","Gross Domestic Product","Value US$ per capita","USD",2011,60379.480881
