"ISO3","Area","Item","Element","Unit","Year","value"
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1992,0.16
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1993,2.0036
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1994,17.42746
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1995,130.4088
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1996,1550.3508
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1997,2221.7566
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1998,2798.9478
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",1999,4011.2
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2000,5129.6
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2001,7023.7946
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2002,9047.9826
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2003,11881.2
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2004,14764
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2005,17860.7
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2006,22248.9
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2007,27000.2
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2008,49470
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2009,57611
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2010,64362
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2011,83315
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2012,100218.2
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2013,111713
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2014,124044
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2015,125298.7
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2016,126593
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2017,132742
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2018,142679
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2019,158315
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2020,160363
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2021,175026
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2022,197900
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2023,209605.67195
"TKM","Turkmenistan","Gross Domestic Product","Value Standard Local Currency","million SLC",2024,222626.124333
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1992,2633.714539
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1993,2736.584261
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1994,2311.481943
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1995,2190.029395
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1996,2379.541799
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1997,2681.068281
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1998,2861.812276
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",1999,3856.923077
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2000,4932.307692
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2001,6753.648654
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2002,8699.983269
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2003,11274.529973
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2004,12156.64473
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2005,14171.993435
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2006,16212.128981
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2007,18492.527339
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2008,21628.51703
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2009,20214.385965
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2010,22583.157895
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2011,29233.333333
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2012,35164.280702
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2013,39197.54386
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2014,43524.210526
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2015,36051.602135
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2016,36169.428571
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2017,37926.285714
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2018,40765.428571
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2019,45232.857143
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2020,45818
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2021,50007.428571
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2022,56542.857143
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2023,59887.334843
"TKM","Turkmenistan","Gross Domestic Product","Value US$","million USD",2024,63607.464095
"TKM","Turkmenistan","Gross Domestic Product","Value US$ per capita","USD",1992,667.660967
"TKM","Turkmenistan","Gross Domestic Product","Value US$ per capita","USD",1993,678.647746
"TKM","Turkmenistan","Gross Domestic Product","Value US$ per capita","USD",1994,561.494226
"TKM","Turkmenistan","Gross Domestic Product","Value US$ per capita","USD",1995,522.529959
