"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,259.59339
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,263.260703
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,258.747275
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,265.455028
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,273.605662
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,271.641732
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,285.72531
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,315.296981
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,335.768971
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,354.482084
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,398.388255
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,444.033245
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,471.856982
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,507.442279
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,587.065119
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,597.833296
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,654.68986399999994
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,651.525501
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,707.602169
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,759.448058
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,723.169173
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,783.29868
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,799.222406
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,850.161952
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,933.209817
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,1016.789407
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,1074.327874
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,1122.776971
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,1147.811081
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,1180.479362
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,1177.176029
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,1201.440021
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,1303.510919
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1992,192.695249
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1993,190.205063
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1994,195.988057
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1995,208.864682
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1996,222.087133
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1997,214.988342
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1998,191.497793
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",1999,197.167531
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2000,190.940275
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2001,166.927103
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2002,181.482577
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2003,206.922433
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2004,239.33145
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2005,261.159455
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2006,289.782657
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2007,303.324921
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2008,337.044351
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2009,320.239639
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2010,371.252194
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2011,439.253736
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2012,420.567736
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2013,441.615204
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2014,432.766837
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2015,403.731022
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2016,421.187976
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2017,460.925653
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2018,480.345871
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2019,490.405773
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2020,499.143457
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2021,521.192237
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2022,505.675049
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2023,508.288117
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$","million USD",2024,556.447107
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1992,1926.519019
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1993,1900.09353
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1994,1956.63256
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1995,2083.968312
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1996,2214.769638
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1997,2135.500822
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1998,1888.771226
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",1999,1932.143647
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2000,1859.611649
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2001,1616.124767
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2002,1747.14992
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2003,1980.801354
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2004,2277.806911
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2005,2471.439229
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2006,2727.289175
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2007,2842.090223
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2008,3149.358541
"TON","Tonga","Polynesia",NA,"Gross Domestic Product","Value US$ per capita","USD",2009,2987.240404
