"ISO3","Area","UN Region","EBRD Region","Item","Element","Unit","Year","value"
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1992,569.564
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1993,1482.1221
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1994,2447.8
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1995,3289.7
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1996,4345.1
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1997,5656.7
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1998,6587.5
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",1999,8129.5
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2000,11201
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2001,14784.8
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2002,18447
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2003,23201.878034
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2004,29729.908128
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2005,37189.302457
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2006,45964.2
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2007,56263
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2008,67088.7
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2009,77348.3
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2010,97215.9
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2011,119026
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2012,127900
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2013,143451
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2014,164238
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2015,180092
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2016,212349.996387
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2017,246510.001151
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2018,275174.5
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2019,300456.8
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2020,331363.668337
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2021,442479.03341
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2022,493505
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2023,557406.152553
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value Standard Local Currency","million SLC",2024,645677.268519
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1992,3307.307865
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1993,3273.507754
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1994,3656.86799
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1995,3806.99807
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1996,3597.23487
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1997,4303.317427
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1998,3537.731099
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",1999,3404.285909
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2000,3600.630376
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2001,4094.451991
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2002,4193.839169
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2003,4901.869723
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2004,6221.109722
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2005,8329.071099
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2006,12761.925035
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2007,14059.891712
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2008,17914.205607
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2009,15331.674926
"ZMB","Zambia","Eastern Africa",NA,"Gross Domestic Product","Value US$","million USD",2010,20263.866597
