"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1992,348754.04,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1993,348317.14,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1994,342252.3,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1995,330418.63,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1996,311546.97,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1997,309767.33,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1998,302438.81,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",1999,303276.14,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2000,295633.34,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2001,280577.45999999996,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2002,292619.76,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2003,288476.18,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2004,290176.33,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2005,284207.28,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2006,281130.96,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2007,281945.57,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2008,283198.94,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2009,289484.93,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2010,291590.92,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2011,288156.06,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2012,294340.29000000004,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2013,291916.87,NA,"yes"
"JPN","Japan","Eastern Asia","Animal fats","Production","t",2014,285866.30000000005,NA,"yes"
