"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1992,9494.43,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1993,9415.89,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1994,9590.27,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1995,9895.06,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1996,10147.29,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1997,10639.79,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1998,10652.85,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",1999,11026.06,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2000,11198.65,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2001,11022.34,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2002,10397.43,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2003,10640.52,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2004,11022.46,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2005,11058.42,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2006,11279.9,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2007,11326.6,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2008,10619.69,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2009,11189.09,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2010,16710.1,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2011,16502.670000000002,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2012,16858.44,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2013,15792.22,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2014,15723.28,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2015,16026.25,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2016,16317.86,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2017,16755.43,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2018,17062.31,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2019,18301.16,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2020,18115.18,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2021,18600.02,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2022,18839.4,NA,"yes"
"NOR","Norway","Northern Europe","Animal fats","Production","t",2023,8493.82,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1992,359373,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1993,352662,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1994,348626,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1995,338090,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1996,334140,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1997,332100,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1998,339054,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",1999,329400,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2000,332093,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2001,329167,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2002,327030,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2003,326675,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2004,328265,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2005,325212,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2006,318183,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2007,311905,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2008,309021,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2009,306092,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2010,301136,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2011,298750,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2012,294212,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2013,286057,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2014,283748,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2015,282717,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2016,285066,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2017,286602,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2018,279763,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2019,275257,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2020,279965,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2021,283168,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2022,280246,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Area harvested","ha",2023,283606,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1992,1010010,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1993,1383645,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1994,1091070,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1995,1227030,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1996,1345340,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1997,1290495,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1998,1371430,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",1999,1221910,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",2000,1305420,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",2001,1221040,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",2002,1143021,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",2003,1287340,NA,"yes"
"NOR","Norway","Northern Europe","Cereals","Production","t",2004,1444570,NA,"yes"
