"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1992,176620.94999999998,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1993,147702.44,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1994,120140.87,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1995,175482.03,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1996,107079.47,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1997,203492.45,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1998,174211.15,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",1999,158146.32,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2000,154957.61,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2001,136752,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2002,147235.25,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2003,144813.39,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2004,135958.05000000002,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2005,114215.31,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2006,116318.54,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2007,122390.9,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2008,118074.67,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2009,119644.79,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2010,119265.57999999999,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2011,133053.12,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2012,137137.5,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2013,155528.21,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2014,160615.11,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2015,83943.27,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2016,95097.51,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2017,92272.95999999999,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2018,156393.11,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2019,81762.75,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2020,89469.36,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2021,89582.95,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2022,80024.14,NA,"yes"
"UKR","Ukraine","Eastern Europe","Animal fats","Production","t",2023,47649.2,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1992,12546365,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1993,12991634,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1994,12060817,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1995,12880700,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1996,11664800,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1997,13811700,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1998,12183048,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",1999,11963131,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2000,12207514,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2001,14246649,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2002,13801680,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2003,12067200,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2004,14409100,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2005,14204100,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2006,13806906,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2007,13117187,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2008,15127168,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2009,15118548,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2010,14188229,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2011,14988910,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2012,14492405,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2013,15552166,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2014,14405800,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2015,14399520,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2016,14020400,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2017,14076803,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2018,14257804,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2019,14961169,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2020,14986392,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2021,15650689,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2022,11602583,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Area harvested","ha",2023,10634188,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Production","t",1992,35558039.58,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Production","t",1993,42732797.87,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Production","t",1994,32860971.06,NA,"yes"
"UKR","Ukraine","Eastern Europe","Cereals","Production","t",1995,32360000,NA,"yes"
