"ISO3","Area","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,1526760,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,1802339,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,1702347,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,2008691,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,2017091,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,2094877,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,2061502,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,1912158,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,2044189,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,2048698,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,1895240,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,1966333,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,1948580,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,2015089,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,1885681,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,1792912,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,1988406,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,2240510,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,1953611,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,1935989,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,2059997,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,1983579,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,2171621,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,2221638,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,1996253,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,2202669,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,1488076,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,2110251,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,2058004,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,1896277,NA,"yes"
"DNK","Denmark","Northern Europe",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,2062963,NA,"yes"
