"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,3856106,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,3983088,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,4058442,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,4359420,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,4470205,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,4895589,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,4693071,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,5247407,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,5431648,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,4962173,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,5471265,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,5591253,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,5663447,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,5977553,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,6123519,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,5929224,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,6454542,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,5945269,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,5008037,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,5822264,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,6229235,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,6291312,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,6059015,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,5926688,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,6059742,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,5868973,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,4441286,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,5641236,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,5769033,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,5816696,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,5605456,NA,"yes"
"EGY","Egypt","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2023,6130017,NA,"yes"
