"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,20470142,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,20138831,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,19618873,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,21108634,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,21852539,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,21070453,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,21296315,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,21739839,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,22238210,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,21609963,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,22060123,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,22574684,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,23405617,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,23690789,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,23626057,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,24016109,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,25826193,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,26617429,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,26862717,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,26324884,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,27240401,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,27217243,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,26911774,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,27804206,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,25862819,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,26658593,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,26933315,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,25298356,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,24769227,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,24922769,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,25898372,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2023,25122080,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1992,36030758,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1993,35529389,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1994,34578572,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1995,37154546,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1996,38419100,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1997,37055943,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1998,37377283,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1999,38224184,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2000,39085211,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2001,37984305,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2002,38773038,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2003,39614763,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2004,41076511,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2005,41509410,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2006,41447183,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2007,42045001,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2008,45095567,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2009,46430301,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2010,46827029,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2011,45907942,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2012,47438781,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2013,47448394,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2014,46874897,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2015,48430868,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2016,44738951,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2017,46065502,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2018,46923099,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2019,43961057,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2020,43176110,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2021,43378867,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2022,44873388,NA,"yes"
"IDN","Indonesia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2023,43627258,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,3092967,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,3215393,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,2957734,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,3023097,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,3238119,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,2858802,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,2861088,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,3041799,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,3040004,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,3130057,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,3131578,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,3436186,NA,"yes"
"IDN","Indonesia","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,3565161,NA,"yes"
