"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,647832,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,627559,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,2125069,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,395767,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,2229701,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,905224,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,1481801,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,848058,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,453736,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,1045443,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,1178676,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,1774174,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,1916191,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,971425,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,2074791,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,563017,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,1207427,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,2314149,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,1743757,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,1949156,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,1211442,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,2223089,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,1573609,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,2629268,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,820371,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,2217003,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,2345424,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,1218889,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,769876,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,2365036,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,809032,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2023,1291950,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1992,783252,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1993,751149,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1994,2563570,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1995,471517,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1996,2688874,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1997,1091822,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1998,1770345,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1999,1023042,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2000,534454,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2001,1231162,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2002,1409456,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2003,2123216,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2004,2292490,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2005,1144585,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2006,2466947,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2007,668068,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2008,1425782,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2009,2780279,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2010,2087007,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2011,2324819,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2012,1425409,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2013,2639095,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2014,1857126,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2015,3122361,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2016,955921,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2017,2618527,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2018,2776282,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2019,1424134,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2020,891930,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2021,2793576,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2022,940952,NA,"yes"
"MAR","Morocco","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2023,1519696,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,232424,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,223137,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,262340,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,224888,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,314588,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,300185,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,282063,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,287028,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,275530,NA,"yes"
"MAR","Morocco","Edible roots and tubers with high starch or inulin content","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,290227,NA,"yes"
