"ISO3","Area","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,2,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,0,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,0,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,0,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,0,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,0,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,0,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,21,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,21,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,24,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,23,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,41,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,28,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,25,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,28,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,28,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,30,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,30,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,34,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,35,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,39,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,41,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,41,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,40,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,42,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,41,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,42,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,41,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,41,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,43,NA,"yes"
"MDV","Maldives","Southern Asia",NA,"Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2022,43,NA,"yes"
