"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1992,5634431,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1993,5370480,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1994,5678205,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1995,5669944,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1996,6098478,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1997,5874376,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1998,6063623,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1999,5726532,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2000,5852457,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2001,6475822,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2002,6034648,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2003,6539654,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2004,6717882,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2005,6086048,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2006,6757717,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2007,7186844,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2008,7566189,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2009,6550580,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2010,7291464,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2011,5911016,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2012,7011692,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2013,6938582,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2014,7585159,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2015,7307740,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2016,8126208,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2017,7918402,NA,"yes"
"MEX","Mexico","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2018,7618478,NA,"yes"
