"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1992,132576,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1993,96949,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1994,130549,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1995,145633,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1996,113236,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1997,126334,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1998,135792,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",1999,130536,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2000,115950,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2001,96144,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2002,112302,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2003,96750,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2004,138561,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2005,130798,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2006,122578,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2007,96309,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2008,124882,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2009,125075,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2010,112887,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2011,115691,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2012,96512,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2013,117401,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2014,131156,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2015,102590,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2016,132619,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2017,92765,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2018,123380,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2019,116330,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2020,119009,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2021,115419,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2022,111585,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (constant 2014-2016 thousand US$)","1000 USD",2023,107716,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1992,158319,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1993,88583,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1994,143794,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1995,167883,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1996,137604,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1997,125904,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1998,118892,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",1999,106374,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2000,77654,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2001,74676,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2002,84524,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2003,82340,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2004,138093,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2005,114424,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2006,105695,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2007,116554,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2008,179672,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2009,135222,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2010,119966,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2011,180636,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2012,137366,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2013,160265,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2014,161185,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2015,96002,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2016,109589,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2017,79415,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2018,111116,NA,"yes"
"MKD","North Macedonia","Cereals","Gross Production Value (current thousand US$)","1000 USD",2019,100487,NA,"yes"
