"ISO3","Area","cpc_name1","Element","Unit","Year","value","Item","grouped"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1992,174370,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1993,219744,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1994,214681,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1995,250151,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1996,294824,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1997,343610,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1998,265869,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",1999,261626,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2000,231619,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2001,366917,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2002,350943,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2003,430278,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2004,447188,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2005,399697,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2006,533306,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2007,648994,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2008,747870,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2009,715415,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2010,1111829,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2011,1210454,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2012,1169693,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2013,1429937,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2014,1174708,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2015,1629505,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2016,1664142,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2017,1661304,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2018,1617215,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2019,1882656,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2020,1967700,NA,"yes"
"PRY","Paraguay","Cereals","Gross Production Value (constant 2014-2016 thousand I$)","1000 Int$",2021,1525480,NA,"yes"
