"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"AGO","Angola","DZA","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2022,18
"AGO","Angola","DZA","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2023,13
"AGO","Angola","DZA","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2024,7
"AGO","Angola","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2019,15324
"AGO","Angola","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2020,11149
"AGO","Angola","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2021,30678
"AGO","Angola","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2022,47865
"AGO","Angola","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2023,16336
"AGO","Angola","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2024,59191
"AGO","Angola","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2020,10539
"AGO","Angola","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2021,39563
"AGO","Angola","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2022,107331
"AGO","Angola","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",2022,832
"AGO","Angola","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2019,226
"AGO","Angola","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2023,74983
"AGO","Angola","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2024,71148
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2020,3057
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2023,1200
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2024,1198
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2019,30
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2020,246
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2021,71
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2022,96
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2023,101
"AGO","Angola","ARG","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2024,458
