"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"BHR","Bahrain","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2019,19
"BHR","Bahrain","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2021,21
"BHR","Bahrain","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2022,17
"BHR","Bahrain","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2023,15
"BHR","Bahrain","Afghanistan","Fruits and nuts","Apricots","Import value","1000 USD",2014,44
"BHR","Bahrain","Afghanistan","Fruits and nuts","Apricots","Import value","1000 USD",2017,101
"BHR","Bahrain","Afghanistan","Fruits and nuts","Apricots","Import value","1000 USD",2019,75
"BHR","Bahrain","Afghanistan","Fruits and nuts","Apricots","Import value","1000 USD",2023,84
"BHR","Bahrain","Afghanistan","Fruits and nuts","Areca nuts","Import value","1000 USD",2022,28
"BHR","Bahrain","Afghanistan","Fruits and nuts","Areca nuts","Import value","1000 USD",2023,110
"BHR","Bahrain","Afghanistan","Fruits and nuts","Cherries","Import value","1000 USD",2019,4
"BHR","Bahrain","Afghanistan","Stimulant, spice and aromatic crops","Chicory roots","Import value","1000 USD",2001,12
"BHR","Bahrain","Afghanistan","Stimulant, spice and aromatic crops","Chicory roots","Import value","1000 USD",2002,5
"BHR","Bahrain","Afghanistan","Stimulant, spice and aromatic crops","Chicory roots","Import value","1000 USD",2004,1
"BHR","Bahrain","Afghanistan","Pulses (dried leguminous vegetables)","Cow peas, dry","Export value","1000 USD",2020,2
"BHR","Bahrain","Afghanistan","Fruits and nuts","Figs","Import value","1000 USD",2022,177
"BHR","Bahrain","Afghanistan","Fruits and nuts","Figs","Import value","1000 USD",2023,363
"BHR","Bahrain","Afghanistan","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2013,42
"BHR","Bahrain","Afghanistan","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2014,7
"BHR","Bahrain","Afghanistan","Fruits and nuts","Persimmons","Import value","1000 USD",2019,35
"BHR","Bahrain","Afghanistan","Fruits and nuts","Persimmons","Import value","1000 USD",2020,42
"BHR","Bahrain","Afghanistan","Fruits and nuts","Persimmons","Import value","1000 USD",2022,10
"BHR","Bahrain","Afghanistan","Fruits and nuts","Strawberries","Export value","1000 USD",2021,8
"BHR","Bahrain","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2005,4
"BHR","Bahrain","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2006,2
