"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"BLR","Belarus","AFG","Afghanistan","Fruits and nuts","Pistachios, in shell","Import value","1000 USD",1998,55
"BLR","Belarus","AFG","Afghanistan","Oilseeds and oleaginous fruits","Sesame seed","Import value","1000 USD",1998,23
"BLR","Belarus","AFG","Afghanistan","Other animal products","Skins, karakul","Import value","1000 USD",2008,80
"BLR","Belarus","AFG","Afghanistan","Other animal products","Skins, karakul","Import value","1000 USD",2009,9
"BLR","Belarus","ALB","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2020,47
"BLR","Belarus","ALB","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2021,61
"BLR","Belarus","ALB","Albania","Vegetables","Artichokes","Import value","1000 USD",2014,1
"BLR","Belarus","ALB","Albania","Vegetables","Cauliflowers and broccoli","Import value","1000 USD",2014,483
"BLR","Belarus","ALB","Albania","Vegetables","Mushrooms and truffles","Import value","1000 USD",2014,3086
"BLR","Belarus","DZA","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2012,46
"BLR","Belarus","DZA","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2013,221
"BLR","Belarus","DZA","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2017,114
"BLR","Belarus","AZE","Azerbaijan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2007,515
"BLR","Belarus","AZE","Azerbaijan","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2020,532
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",1999,2245
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",2001,914
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",2018,2927
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",1998,77
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",2008,52
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",2009,36
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",2011,1032
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",1999,2019
"BLR","Belarus","AZE","Azerbaijan","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2014,9328
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Cranberries","Import value","1000 USD",1998,61
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",2002,1
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",2004,1
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",2005,1
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",2006,1
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",2009,45
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",2010,20
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Other fruits, n.e.c.","Import value","1000 USD",1998,218
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Other fruits, n.e.c.","Import value","1000 USD",1999,11
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Other fruits, n.e.c.","Import value","1000 USD",2001,26
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Other fruits, n.e.c.","Import value","1000 USD",2019,423
"BLR","Belarus","AZE","Azerbaijan","Fruits and nuts","Quinces","Import value","1000 USD",2021,3
"BLR","Belarus","AZE","Azerbaijan","Live animals","Goats","Export value","1000 USD",2017,3
"BLR","Belarus","AZE","Azerbaijan","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2008,9
"BLR","Belarus","AZE","Azerbaijan","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2009,8
"BLR","Belarus","AZE","Azerbaijan","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2008,8
"BLR","Belarus","AZE","Azerbaijan","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2019,47
"BLR","Belarus","AZE","Azerbaijan","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2001,5
"BLR","Belarus","AZE","Azerbaijan","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2011,8
"BLR","Belarus","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2016,133
"BLR","Belarus","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2020,27
"BLR","Belarus","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2002,812
"BLR","Belarus","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2003,852
"BLR","Belarus","ARG","Argentina","Fruits and nuts","Brazil nuts, in shell","Import value","1000 USD",2002,1
"BLR","Belarus","ARG","Argentina","Fruits and nuts","Cranberries","Import value","1000 USD",2008,1
"BLR","Belarus","ARG","Argentina","Fruits and nuts","Cranberries","Import value","1000 USD",2009,2
"BLR","Belarus","ARG","Argentina","Fruits and nuts","Grapes","Import value","1000 USD",2009,1090
"BLR","Belarus","ARG","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",1998,373
"BLR","Belarus","ARG","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",1999,312
"BLR","Belarus","ARG","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",2001,247
