"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"BTN","Bhutan","AUS","Australia","Fruits and nuts","Hazelnuts, in shell","Export value","1000 USD",2023,9
"BTN","Bhutan","AUS","Australia","Live animals","Chickens","Import value","1000 USD",2010,20
"BTN","Bhutan","AUS","Australia","Live animals","Chickens","Import value","1000 USD",2012,33
"BTN","Bhutan","AUS","Australia","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Export value","1000 USD",2023,1
"BTN","Bhutan","AUS","Australia","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2022,14
"BTN","Bhutan","BGD","Bangladesh","Cereals","Quinoa","Export value","1000 USD",2023,2
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Apples","Export value","1000 USD",2010,1664
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Apples","Export value","1000 USD",2012,348
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Apples","Export value","1000 USD",2022,103
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Apples","Export value","1000 USD",2023,269
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Oranges","Export value","1000 USD",2010,6666
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Oranges","Export value","1000 USD",2012,7860
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Oranges","Export value","1000 USD",2022,3996
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Oranges","Export value","1000 USD",2023,5780
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Peaches and nectarines","Export value","1000 USD",2012,101
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Tangerines, mandarins, clementines","Export value","1000 USD",2022,686
"BTN","Bhutan","BGD","Bangladesh","Fruits and nuts","Tangerines, mandarins, clementines","Export value","1000 USD",2023,582
"BTN","Bhutan","BGD","Bangladesh","Other animal products","Natural honey","Export value","1000 USD",2023,3
"BTN","Bhutan","BGD","Bangladesh","Other groups","Beverages","Import value","1000 USD",2022,1771
"BTN","Bhutan","BGD","Bangladesh","Other groups","Beverages","Import value","1000 USD",2023,1821
"BTN","Bhutan","BGD","Bangladesh","Other groups","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2022,19
"BTN","Bhutan","BGD","Bangladesh","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2022,118
"BTN","Bhutan","BGD","Bangladesh","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2023,1547
"BTN","Bhutan","BGD","Bangladesh","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2010,1837
