"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"COG","Congo","Angola","Fruits and nuts","Apples","Export value","1000 USD",2005,63
"COG","Congo","Angola","Fruits and nuts","Bananas","Import value","1000 USD",1994,1
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2017,4
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2018,14
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2019,74
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2020,31
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2021,1
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2022,2
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2023,1
"COG","Congo","Angola","Cereals","Cereals n.e.c.","Import value","1000 USD",2012,25
"COG","Congo","Angola","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2009,77
"COG","Congo","Angola","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2010,74
"COG","Congo","Angola","Live animals","Goats","Import value","1000 USD",1993,2
"COG","Congo","Angola","Live animals","Goats","Import value","1000 USD",1994,1
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2005,1982
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2009,1595
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2010,1630
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2012,420
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2013,84
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2016,36
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2017,125
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2020,1597
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2021,1140
"COG","Congo","Angola","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2023,803
"COG","Congo","Angola","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2005,123
"COG","Congo","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2005,1626
"COG","Congo","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2009,2468
"COG","Congo","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2010,2351
"COG","Congo","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2012,3677
"COG","Congo","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2013,3656
"COG","Congo","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2017,808
"COG","Congo","Angola","Vegetables","Onions and shallots, dry (excluding dehydrated)","Export value","1000 USD",2005,8
"COG","Congo","Angola","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2005,15
"COG","Congo","Angola","Live animals","Sheep","Import value","1000 USD",1994,1
"COG","Congo","Angola","Live animals","Swine / pigs","Import value","1000 USD",1993,1
"COG","Congo","Angola","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2012,72
"COG","Congo","Angola","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2013,37
"COG","Congo","Angola","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2022,1
"COG","Congo","Angola","Tobacco products","Tobacco products","Import value","1000 USD",1993,12
"COG","Congo","Argentina","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2023,3026
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2009,54
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2010,52
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2012,36
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2013,21
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2014,480
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2015,43
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2016,60
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2017,256
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2018,43
"COG","Congo","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2019,97
"COG","Congo","Argentina","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2015,9635
"COG","Congo","Argentina","Cereals","Millet","Import value","1000 USD",2017,14
"COG","Congo","Argentina","Vegetables","Peas, green","Import value","1000 USD",2012,10
"COG","Congo","Argentina","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2023,46
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2005,6005
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2008,4348
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2009,3661
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2010,3488
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2012,6706
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2015,2649
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2017,3267
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2019,3115
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2021,13889
"COG","Congo","Argentina","Cereals","Wheat","Import value","1000 USD",2022,46682
"COG","Congo","Australia","Beverages","Beverages","Import value","1000 USD",2022,1514
"COG","Congo","Australia","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",2015,2
"COG","Congo","Australia","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",2016,2
"COG","Congo","Australia","Cereals","Wheat","Import value","1000 USD",2012,1127
"COG","Congo","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Abaca, manila hemp, raw","Import value","1000 USD",2019,1
"COG","Congo","Belgium","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2019,1
"COG","Congo","Belgium","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2021,1
"COG","Congo","Belgium","Fruits and nuts","Apples","Import value","1000 USD",2008,22
"COG","Congo","Belgium","Vegetables","Artichokes","Import value","1000 USD",2015,1
"COG","Congo","Belgium","Vegetables","Artichokes","Import value","1000 USD",2021,1
"COG","Congo","Belgium","Vegetables","Asparagus","Import value","1000 USD",2015,1
"COG","Congo","Belgium","Vegetables","Asparagus","Import value","1000 USD",2018,1
