"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"COL","Colombia","ALB","Albania","Other animal products","Hides, cattle, dry salted","Export value","1000 USD",2019,144
"COL","Colombia","DZA","Algeria","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",1995,1160
"COL","Colombia","DZA","Algeria","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",1999,2910
"COL","Colombia","DZA","Algeria","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",2001,1188
"COL","Colombia","DZA","Algeria","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",2003,635
"COL","Colombia","DZA","Algeria","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",2010,742
"COL","Colombia","DZA","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2024,44
"COL","Colombia","ATG","Antigua and Barbuda","Cereals","Oats","Export value","1000 USD",2009,1
"COL","Colombia","ATG","Antigua and Barbuda","Cereals","Wheat","Export value","1000 USD",2009,2
"COL","Colombia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",1995,19
"COL","Colombia","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",1994,3129
"COL","Colombia","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",1995,9084
"COL","Colombia","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Flax, raw or retted","Import value","1000 USD",1994,138
"COL","Colombia","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Natural rubber in other forms","Import value","1000 USD",1994,9021
"COL","Colombia","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Natural rubber in other forms","Import value","1000 USD",1995,5591
"COL","Colombia","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Natural rubber in primary forms","Import value","1000 USD",1994,1330
"COL","Colombia","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",1995,715
"COL","Colombia","ATG","Antigua and Barbuda","Fruits and nuts","Almonds, in shell","Import value","1000 USD",1995,39
"COL","Colombia","ATG","Antigua and Barbuda","Fruits and nuts","Grapes","Import value","1000 USD",1994,39
"COL","Colombia","ATG","Antigua and Barbuda","Fruits and nuts","Pistachios, in shell","Import value","1000 USD",1994,21
"COL","Colombia","ATG","Antigua and Barbuda","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1994,101
"COL","Colombia","ATG","Antigua and Barbuda","Oilseeds and oleaginous fruits","Cotton seed","Import value","1000 USD",1994,32
"COL","Colombia","ATG","Antigua and Barbuda","Oilseeds and oleaginous fruits","Mustard seed","Import value","1000 USD",1995,3
"COL","Colombia","ATG","Antigua and Barbuda","Other animal products","Natural honey","Import value","1000 USD",1994,13
"COL","Colombia","ATG","Antigua and Barbuda","Other animal products","Natural honey","Import value","1000 USD",1995,20
"COL","Colombia","ATG","Antigua and Barbuda","Other animal products","Shorn wool, greasy, including fleece-washed shorn wool","Import value","1000 USD",1995,704
"COL","Colombia","ATG","Antigua and Barbuda","Other animal products","Spermaceti","Import value","1000 USD",1995,6
"COL","Colombia","ATG","Antigua and Barbuda","Other groups","Dairy products and egg products","Import value","1000 USD",1994,750
"COL","Colombia","ATG","Antigua and Barbuda","Other groups","Dairy products and egg products","Import value","1000 USD",1995,2685
"COL","Colombia","ATG","Antigua and Barbuda","Other groups","Non-wood forest products","Import value","1000 USD",1995,1
"COL","Colombia","ATG","Antigua and Barbuda","Other groups","Tobacco products","Import value","1000 USD",1995,605
"COL","Colombia","ATG","Antigua and Barbuda","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2009,1
"COL","Colombia","ATG","Antigua and Barbuda","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",1995,905
"COL","Colombia","ATG","Antigua and Barbuda","Pulses (dried leguminous vegetables)","Lentils, dry","Export value","1000 USD",2009,1
"COL","Colombia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1994,575
"COL","Colombia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1995,758
"COL","Colombia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Cocoa beans","Import value","1000 USD",1995,295
"COL","Colombia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",1994,8
"COL","Colombia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1995,99
"COL","Colombia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1994,63
"COL","Colombia","ATG","Antigua and Barbuda","Vegetables","Cauliflowers and broccoli","Import value","1000 USD",1995,7
"COL","Colombia","ATG","Antigua and Barbuda","Vegetables","Green garlic","Import value","1000 USD",1994,910
"COL","Colombia","ATG","Antigua and Barbuda","Vegetables","Green garlic","Import value","1000 USD",1995,487
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",1993,4138
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2005,5217
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2006,19644
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2007,38205
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2008,69112
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2009,37403
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2010,34716
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2011,52661
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2012,63975
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2013,61692
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2014,50409
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2015,33453
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2016,64415
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2017,73924
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2018,83528
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2019,99695
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2020,86069
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2021,69022
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2022,131919
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2023,111663
"COL","Colombia","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2024,87904
"COL","Colombia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1993,12552
"COL","Colombia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1996,22680
"COL","Colombia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1997,32133
"COL","Colombia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1998,55730
"COL","Colombia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1999,11060
"COL","Colombia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2000,9727
"COL","Colombia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2001,10930
