"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"COM","Comoros","Argentina","Fruits and nuts","Apples","Import value","1000 USD",2016,8
"COM","Comoros","Argentina","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2017,1039
"COM","Comoros","Argentina","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2018,1620
"COM","Comoros","Bahamas","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2019,14
"COM","Comoros","Belgium","Vegetables","Broad beans and horse beans, green","Import value","1000 USD",2020,7
"COM","Comoros","Belgium","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2017,10
"COM","Comoros","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2017,210
"COM","Comoros","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2018,320
"COM","Comoros","Belgium","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2000,998
"COM","Comoros","Belgium","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2002,910
"COM","Comoros","Belgium","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2018,25
"COM","Comoros","Belgium","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2019,26
"COM","Comoros","Belgium","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2020,223
"COM","Comoros","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2017,50
"COM","Comoros","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2020,2927
"COM","Comoros","Canada","Stimulant, spice and aromatic crops","Vanilla, raw","Export value","1000 USD",1995,426
"COM","Comoros","Canada","Stimulant, spice and aromatic crops","Vanilla, raw","Export value","1000 USD",1997,137
"COM","Comoros","Canada","Stimulant, spice and aromatic crops","Vanilla, raw","Export value","1000 USD",1998,124
"COM","Comoros","Canada","Stimulant, spice and aromatic crops","Vanilla, raw","Export value","1000 USD",2000,284
"COM","Comoros","Canada","Stimulant, spice and aromatic crops","Vanilla, raw","Export value","1000 USD",2017,981
