"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"CUB","Cuba","Afghanistan","Fruits and nuts","Grapes","Import value","1000 USD",2001,28
"CUB","Cuba","Afghanistan","Fruits and nuts","Grapes","Import value","1000 USD",2002,26
"CUB","Cuba","Albania","Raw milk","Raw milk of cattle","Import value","1000 USD",2018,96
"CUB","Cuba","Algeria","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Export value","1000 USD",2003,2150
"CUB","Cuba","Antigua and Barbuda","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2004,234
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2001,7
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1999,12666
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2004,4211
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2020,41281
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2021,48008
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2022,17559
"CUB","Cuba","Argentina","Vegetables","Broad beans and horse beans, green","Import value","1000 USD",2002,3
"CUB","Cuba","Argentina","Vegetables","Broad beans and horse beans, green","Import value","1000 USD",2003,4
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2002,32
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2019,202
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2020,237
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2021,385
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2022,153
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Cow peas, dry","Import value","1000 USD",2019,4
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Cow peas, dry","Import value","1000 USD",2021,118
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Cow peas, dry","Import value","1000 USD",2022,14
"CUB","Cuba","Argentina","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2019,13960
"CUB","Cuba","Argentina","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2021,17074
"CUB","Cuba","Argentina","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2022,20615
"CUB","Cuba","Argentina","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2021,68054
"CUB","Cuba","Argentina","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Import value","1000 USD",2001,19
"CUB","Cuba","Argentina","Live animals","Horses","Import value","1000 USD",2001,13
"CUB","Cuba","Argentina","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",2019,97
"CUB","Cuba","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1999,1762
"CUB","Cuba","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2001,14757
