"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"CYP","Cyprus","Albania","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",1999,1117
"CYP","Cyprus","Albania","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2000,1325
"CYP","Cyprus","Albania","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2001,836
"CYP","Cyprus","Albania","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2002,1393
"CYP","Cyprus","Albania","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2003,1350
"CYP","Cyprus","Albania","Live animals","Swine / pigs","Export value","1000 USD",2004,167
"CYP","Cyprus","Albania","Live animals","Swine / pigs","Export value","1000 USD",2005,105
"CYP","Cyprus","Albania","Live animals","Swine / pigs","Export value","1000 USD",2007,28
"CYP","Cyprus","Albania","Live animals","Swine / pigs","Export value","1000 USD",2008,141
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2012,2175
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2013,12209
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2014,7574
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2015,5704
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2016,3920
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2017,6421
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2018,6991
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2019,8816
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2020,6526
"CYP","Cyprus","Algeria","Beverages","Beverages","Export value","1000 USD",2021,1219
"CYP","Cyprus","Algeria","Sugar crops","Sugar cane","Import value","1000 USD",2015,29
"CYP","Cyprus","Algeria","Sugar crops","Sugar cane","Import value","1000 USD",2016,27
"CYP","Cyprus","Algeria","Sugar crops","Sugar cane","Import value","1000 USD",2021,31
"CYP","Cyprus","Argentina","Fruits and nuts","Apples","Import value","1000 USD",2008,582
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1994,610
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1995,489
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1996,436
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1997,414
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1998,573
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1999,486
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2000,509
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2001,652
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2002,448
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2003,379
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2004,370
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2005,536
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2006,428
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2007,595
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2008,1373
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2009,1011
"CYP","Cyprus","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2010,684
