"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"ECU","Ecuador","AFG","Afghanistan","Other groups","Non-wood forest products","Import value","1000 USD",2001,3
"ECU","Ecuador","AFG","Afghanistan","Stimulant, spice and aromatic crops","Nutmeg, mace, cardamoms, raw","Import value","1000 USD",2001,5
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",1998,174
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2005,2708
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2006,2655
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2007,6959
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2008,5997
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2009,5997
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2010,5716
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2011,6876
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2012,9358
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2013,3047
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2014,1434
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2015,9341
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2016,4294
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2017,9141
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2018,12041
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2019,13715
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2020,8511
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2021,4777
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2022,1025
"ECU","Ecuador","ARG","Argentina","Cereals","Barley","Import value","1000 USD",2023,3548
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1994,1764
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1997,1493
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1998,23390
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1999,3857
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2000,1526
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2001,5085
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2002,12264
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2003,18633
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2004,6035
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2005,18020
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2006,13545
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2008,23627
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2009,8990
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2010,78224
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2011,66074
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2012,77898
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2013,32097
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2014,15230
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2015,5956
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2016,17484
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2017,12815
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2018,15096
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2019,5037
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2020,14236
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2021,13338
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2022,61829
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2023,32643
"ECU","Ecuador","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2024,48733
"ECU","Ecuador","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2004,3
"ECU","Ecuador","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2008,13541
"ECU","Ecuador","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2010,5220
"ECU","Ecuador","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2011,7342
"ECU","Ecuador","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2012,4907
"ECU","Ecuador","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",2014,169
