"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"EST","Estonia","Algeria","Cereals","Barley","Export value","1000 USD",2014,5324
"EST","Estonia","Algeria","Cereals","Barley","Export value","1000 USD",2020,21288
"EST","Estonia","Algeria","Cereals","Barley","Export value","1000 USD",2021,6220
"EST","Estonia","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2000,1
"EST","Estonia","Algeria","Cereals","Wheat","Export value","1000 USD",2012,8871
"EST","Estonia","Algeria","Cereals","Wheat","Export value","1000 USD",2015,29354
"EST","Estonia","Algeria","Cereals","Wheat","Export value","1000 USD",2016,4812
"EST","Estonia","Algeria","Cereals","Wheat","Export value","1000 USD",2017,21012
"EST","Estonia","Algeria","Cereals","Wheat","Export value","1000 USD",2021,6601
"EST","Estonia","Algeria","Cereals","Wheat","Export value","1000 USD",2022,21184
"EST","Estonia","Angola","Cereals","Wheat","Export value","1000 USD",2021,10330
"EST","Estonia","Angola","Cereals","Wheat","Export value","1000 USD",2022,11555
"EST","Estonia","Angola","Cereals","Wheat","Export value","1000 USD",2023,8786
"EST","Estonia","Azerbaijan","Live animals","Cattle","Export value","1000 USD",2022,3667
"EST","Estonia","Azerbaijan","Vegetables","Green garlic","Import value","1000 USD",2000,14
"EST","Estonia","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",2010,3
"EST","Estonia","Azerbaijan","Other animal products","Natural honey","Export value","1000 USD",2008,27
"EST","Estonia","Azerbaijan","Other animal products","Natural honey","Export value","1000 USD",2009,32
"EST","Estonia","Azerbaijan","Other animal products","Natural honey","Export value","1000 USD",2010,6
"EST","Estonia","Azerbaijan","Other animal products","Natural honey","Export value","1000 USD",2011,8
"EST","Estonia","Azerbaijan","Fruits and nuts","Other fruits, n.e.c.","Import value","1000 USD",1998,19
"EST","Estonia","Azerbaijan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2014,310
"EST","Estonia","Azerbaijan","Oilseeds and oleaginous fruits","Sunflower seed","Export value","1000 USD",2009,1
"EST","Estonia","Azerbaijan","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2003,60
"EST","Estonia","Azerbaijan","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2005,24
"EST","Estonia","Azerbaijan","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2006,30
"EST","Estonia","Azerbaijan","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2007,26
"EST","Estonia","Azerbaijan","Tobacco products","Tobacco products","Export value","1000 USD",1999,445
"EST","Estonia","Azerbaijan","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2000,2
"EST","Estonia","Argentina","Fruits and nuts","Almonds, in shell","Import value","1000 USD",1999,11
"EST","Estonia","Argentina","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1999,31
"EST","Estonia","Argentina","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",2000,13
"EST","Estonia","Argentina","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",2001,15
"EST","Estonia","Argentina","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",2006,35
"EST","Estonia","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",1998,94
"EST","Estonia","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",1999,115
"EST","Estonia","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",2000,72
"EST","Estonia","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",2001,122
"EST","Estonia","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",2002,117
"EST","Estonia","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",2003,225
"EST","Estonia","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1999,15
"EST","Estonia","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2004,1
"EST","Estonia","Argentina","Fruits and nuts","Other citrus fruit, n.e.c.","Import value","1000 USD",2003,15
"EST","Estonia","Argentina","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",1999,14
"EST","Estonia","Argentina","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",2001,14
"EST","Estonia","Argentina","Fruits and nuts","Pomelos and grapefruits","Import value","1000 USD",2001,9
