"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"ETH","Ethiopia","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",1998,21
"ETH","Ethiopia","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2000,17
"ETH","Ethiopia","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2004,7
"ETH","Ethiopia","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2007,39
"ETH","Ethiopia","ALB","Albania","Cereals","Millet","Export value","1000 USD",2004,1
"ETH","Ethiopia","ALB","Albania","Cereals","Wheat","Export value","1000 USD",2004,1
"ETH","Ethiopia","ALB","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2016,38
"ETH","Ethiopia","DZA","Algeria","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",2016,1
"ETH","Ethiopia","DZA","Algeria","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1998,3362
"ETH","Ethiopia","DZA","Algeria","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1999,4307
"ETH","Ethiopia","DZA","Algeria","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2000,658
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2001,37
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2002,59
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2003,258
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2004,80
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2006,106
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2007,302
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2009,168
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2012,362
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2016,326
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2019,196
"ETH","Ethiopia","DZA","Algeria","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Export value","1000 USD",2007,204
"ETH","Ethiopia","DZA","Algeria","Vegetables","Broad beans and horse beans, green","Export value","1000 USD",2002,66
"ETH","Ethiopia","AGO","Angola","Forage, fibers, and other crops (CPC code 019)","Jute, raw or retted","Export value","1000 USD",2007,1
"ETH","Ethiopia","AGO","Angola","Fruits and nuts","Strawberries","Export value","1000 USD",2015,96
"ETH","Ethiopia","ATG","Antigua and Barbuda","Cereals","Oats","Import value","1000 USD",2010,54
"ETH","Ethiopia","ATG","Antigua and Barbuda","Cereals","Oats","Import value","1000 USD",2011,47
"ETH","Ethiopia","ATG","Antigua and Barbuda","Cereals","Oats","Import value","1000 USD",2012,70
"ETH","Ethiopia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",1998,32
"ETH","Ethiopia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",1999,10
"ETH","Ethiopia","ATG","Antigua and Barbuda","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1999,11
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2007,470
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2009,984
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2010,1102
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2011,851
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2012,1376
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2013,1516
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2014,2533
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2015,3565
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2016,3638
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2017,3864
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2018,8196
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2019,7048
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2020,3404
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2021,1283
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2022,4680
"ETH","Ethiopia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2023,2196
"ETH","Ethiopia","ARG","Argentina","Cereals","Oats","Import value","1000 USD",2011,91
"ETH","Ethiopia","ARG","Argentina","Cereals","Oats","Import value","1000 USD",2012,211
"ETH","Ethiopia","ARG","Argentina","Cereals","Oats","Import value","1000 USD",2016,207
"ETH","Ethiopia","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",1998,4765
"ETH","Ethiopia","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2012,62383
"ETH","Ethiopia","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2020,100851
"ETH","Ethiopia","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2022,110031
"ETH","Ethiopia","ARG","Argentina","Fruits and nuts","Pears","Import value","1000 USD",2009,1
