"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"FSM","Micronesia (Federated States of)","AUS","Australia","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2004,1
"FSM","Micronesia (Federated States of)","AUS","Australia","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Import value","1000 USD",2004,7
"FSM","Micronesia (Federated States of)","AUS","Australia","Fruits and nuts","Apples","Import value","1000 USD",2004,3
"FSM","Micronesia (Federated States of)","AUS","Australia","Fruits and nuts","Oranges","Import value","1000 USD",2004,1
"FSM","Micronesia (Federated States of)","AUS","Australia","Fruits and nuts","Pears","Import value","1000 USD",2004,2
"FSM","Micronesia (Federated States of)","AUS","Australia","Live animals","Chickens","Import value","1000 USD",2002,1
"FSM","Micronesia (Federated States of)","AUS","Australia","Live animals","Horses","Import value","1000 USD",2006,3443
"FSM","Micronesia (Federated States of)","AUS","Australia","Live animals","Horses","Import value","1000 USD",2007,1982
"FSM","Micronesia (Federated States of)","AUS","Australia","Live animals","Horses","Import value","1000 USD",2008,1171
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Beverages","Import value","1000 USD",2004,285
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2002,185
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2003,163
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2004,144
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2005,21
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2006,25
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2007,61
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2008,43
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2009,72
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2010,58
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Dairy products and egg products","Import value","1000 USD",2011,39
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2002,738
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2003,679
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2004,719
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2005,591
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2006,444
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2007,568
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2008,626
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2009,582
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2010,1503
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2011,2354
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2012,2287
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2013,1029
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2002,175
"FSM","Micronesia (Federated States of)","AUS","Australia","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2003,195
"FSM","Micronesia (Federated States of)","AUS","Australia","Raw milk","Raw milk of cattle","Import value","1000 USD",2002,539
"FSM","Micronesia (Federated States of)","AUS","Australia","Raw milk","Raw milk of cattle","Import value","1000 USD",2003,372
"FSM","Micronesia (Federated States of)","AUS","Australia","Raw milk","Raw milk of cattle","Import value","1000 USD",2004,402
"FSM","Micronesia (Federated States of)","AUS","Australia","Raw milk","Raw milk of cattle","Import value","1000 USD",2005,217
"FSM","Micronesia (Federated States of)","AUS","Australia","Raw milk","Raw milk of cattle","Import value","1000 USD",2006,136
"FSM","Micronesia (Federated States of)","AUS","Australia","Raw milk","Raw milk of cattle","Import value","1000 USD",2007,225
