"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"GIN","Guinea","Albania","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Export value","1000 USD",2008,774
"GIN","Guinea","Algeria","Beverages","Beverages","Import value","1000 USD",2008,1279
"GIN","Guinea","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1996,612
"GIN","Guinea","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1997,2190
"GIN","Guinea","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",2003,373
"GIN","Guinea","Angola","Beverages","Beverages","Export value","1000 USD",1998,22
"GIN","Guinea","Angola","Beverages","Beverages","Export value","1000 USD",2014,9
"GIN","Guinea","Angola","Edible roots and tubers with high starch or inulin content","Cassava, dry","Export value","1000 USD",2001,2
"GIN","Guinea","Angola","Cereals","Fonio","Export value","1000 USD",2014,68
"GIN","Guinea","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1997,12
"GIN","Guinea","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2014,130
"GIN","Guinea","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2015,75
"GIN","Guinea","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2016,242
"GIN","Guinea","Australia","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",1997,5
"GIN","Guinea","Australia","Tobacco products","Tobacco products","Import value","1000 USD",1997,4888
"GIN","Guinea","Australia","Tobacco products","Tobacco products","Import value","1000 USD",1998,3107
"GIN","Guinea","Australia","Tobacco products","Tobacco products","Import value","1000 USD",1999,8661
"GIN","Guinea","Australia","Tobacco products","Tobacco products","Import value","1000 USD",2000,6669
"GIN","Guinea","Australia","Tobacco products","Tobacco products","Import value","1000 USD",2001,6521
"GIN","Guinea","Australia","Tobacco products","Tobacco products","Import value","1000 USD",2002,8748
"GIN","Guinea","Australia","Tobacco products","Tobacco products","Import value","1000 USD",2003,10332
"GIN","Guinea","Austria","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",1996,25
"GIN","Guinea","Austria","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",1998,19
"GIN","Guinea","Austria","Tobacco products","Tobacco products","Import value","1000 USD",1995,4179
"GIN","Guinea","Austria","Tobacco products","Tobacco products","Import value","1000 USD",1996,1825
"GIN","Guinea","Austria","Tobacco products","Tobacco products","Import value","1000 USD",1997,1416
"GIN","Guinea","Austria","Tobacco products","Tobacco products","Import value","1000 USD",2008,9937
"GIN","Guinea","Bangladesh","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Export value","1000 USD",2015,313
"GIN","Guinea","Belgium","Beverages","Beverages","Import value","1000 USD",2001,384
"GIN","Guinea","Belgium","Beverages","Beverages","Import value","1000 USD",2002,674
"GIN","Guinea","Belgium","Beverages","Beverages","Import value","1000 USD",2003,1678
"GIN","Guinea","Belgium","Beverages","Beverages","Import value","1000 USD",2008,2750
"GIN","Guinea","Belgium","Vegetables","Cantaloupes and other melons","Export value","1000 USD",2000,161
"GIN","Guinea","Belgium","Live animals","Cattle","Export value","1000 USD",2003,5
"GIN","Guinea","Belgium","Cereals","Cereals n.e.c.","Export value","1000 USD",2015,161
"GIN","Guinea","Belgium","Cereals","Cereals n.e.c.","Export value","1000 USD",2016,162
"GIN","Guinea","Belgium","Live animals","Chickens","Import value","1000 USD",2014,38
"GIN","Guinea","Belgium","Live animals","Chickens","Import value","1000 USD",2015,4
"GIN","Guinea","Belgium","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Export value","1000 USD",2014,3
"GIN","Guinea","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2003,2133
"GIN","Guinea","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2015,1061
"GIN","Guinea","Belgium","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2000,2
"GIN","Guinea","Belgium","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2001,2
"GIN","Guinea","Belgium","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2002,1
"GIN","Guinea","Belgium","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2014,15
"GIN","Guinea","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2001,842
"GIN","Guinea","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2003,342
"GIN","Guinea","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2008,1124
"GIN","Guinea","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2014,951
"GIN","Guinea","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2015,835
"GIN","Guinea","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2016,966
"GIN","Guinea","Belgium","Live animals","Ducks","Export value","1000 USD",2001,1
"GIN","Guinea","Belgium","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2016,1
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2001,170
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2002,160
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2003,80
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2014,232
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2000,6020
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2001,10785
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2002,7699
"GIN","Guinea","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2003,9167
"GIN","Guinea","Belgium","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",2016,1
"GIN","Guinea","Belgium","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2001,16
"GIN","Guinea","Belgium","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",2000,51
"GIN","Guinea","Belgium","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",2001,54
"GIN","Guinea","Belgium","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",2002,107
"GIN","Guinea","Belgium","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",2003,126
"GIN","Guinea","Belgium","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",2008,310
"GIN","Guinea","Belgium","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",2015,436
"GIN","Guinea","Belgium","Fruits and nuts","Mangoes, guavas and mangosteens","Export value","1000 USD",2016,217
"GIN","Guinea","Belgium","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2000,2739
"GIN","Guinea","Belgium","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2001,1483
"GIN","Guinea","Belgium","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2002,2039
"GIN","Guinea","Belgium","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2003,2472
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Export value","1000 USD",2002,180
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Export value","1000 USD",2003,466
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Export value","1000 USD",2014,1819
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Import value","1000 USD",2002,3
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Import value","1000 USD",2008,3
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Import value","1000 USD",2015,26
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Import value","1000 USD",2016,1
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in primary forms","Import value","1000 USD",2008,10
"GIN","Guinea","Belgium","Non-wood forest products","Non-wood forest products","Import value","1000 USD",2000,29
"GIN","Guinea","Belgium","Non-wood forest products","Non-wood forest products","Import value","1000 USD",2002,23
"GIN","Guinea","Belgium","Vegetables","Onions and shallots, dry (excluding dehydrated)","Import value","1000 USD",2003,22
"GIN","Guinea","Belgium","Vegetables","Onions and shallots, dry (excluding dehydrated)","Import value","1000 USD",2015,695
"GIN","Guinea","Belgium","Fruits and nuts","Other citrus fruit, n.e.c.","Export value","1000 USD",2014,21
"GIN","Guinea","Belgium","Live animals","Other live animals, n.e.c.","Export value","1000 USD",2000,1
"GIN","Guinea","Belgium","Live animals","Other live animals, n.e.c.","Export value","1000 USD",2001,2
"GIN","Guinea","Belgium","Vegetables","Other vegetables, fresh n.e.c.","Import value","1000 USD",2016,7
"GIN","Guinea","Belgium","Pulses (dried leguminous vegetables)","Peas, dry","Export value","1000 USD",2001,157
"GIN","Guinea","Belgium","Fruits and nuts","Pineapples","Export value","1000 USD",2001,98
"GIN","Guinea","Belgium","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2003,22
"GIN","Guinea","Belgium","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2015,15
"GIN","Guinea","Belgium","Edible roots and tubers with high starch or inulin content","Potatoes","Import value","1000 USD",2016,44
"GIN","Guinea","Belgium","Fruits and nuts","Raspberries","Import value","1000 USD",2016,6
"GIN","Guinea","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2000,34
"GIN","Guinea","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2002,16
"GIN","Guinea","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2003,20
"GIN","Guinea","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2014,881
"GIN","Guinea","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2015,753
"GIN","Guinea","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2016,831
"GIN","Guinea","Belgium","Live animals","Swine / pigs","Import value","1000 USD",2014,2
"GIN","Guinea","Belgium","Live animals","Swine / pigs","Import value","1000 USD",2016,1
"GIN","Guinea","Belgium","Tobacco products","Tobacco products","Export value","1000 USD",2001,433
"GIN","Guinea","Belgium","Tobacco products","Tobacco products","Export value","1000 USD",2003,33
"GIN","Guinea","Belgium","Tobacco products","Tobacco products","Import value","1000 USD",2000,4315
"GIN","Guinea","Belgium","Tobacco products","Tobacco products","Import value","1000 USD",2001,3703
"GIN","Guinea","Belgium","Tobacco products","Tobacco products","Import value","1000 USD",2002,1957
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Export value","1000 USD",2001,31
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Export value","1000 USD",2008,81
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2000,320
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2001,300
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2002,449
"GIN","Guinea","Belgium","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2003,216
"GIN","Guinea","Belgium","Vegetables","Watermelons","Export value","1000 USD",2000,70
"GIN","Guinea","Botswana","Fruits and nuts","Apples","Import value","1000 USD",2003,19
"GIN","Guinea","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2014,18
"GIN","Guinea","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2016,17
"GIN","Guinea","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2002,7643
"GIN","Guinea","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2003,7088
"GIN","Guinea","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2008,30222
"GIN","Guinea","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2014,40020
"GIN","Guinea","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2015,26675
"GIN","Guinea","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2016,18612
"GIN","Guinea","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2003,5654
"GIN","Guinea","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2016,4965
"GIN","Guinea","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1995,23
"GIN","Guinea","Myanmar","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",1996,6261
"GIN","Guinea","Myanmar","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2002,3839
"GIN","Guinea","Cameroon","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",1998,12
"GIN","Guinea","Canada","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1996,1
"GIN","Guinea","Canada","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2001,114
"GIN","Guinea","Canada","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2002,225
"GIN","Guinea","Canada","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2001,5
"GIN","Guinea","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1995,189
"GIN","Guinea","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1998,722
"GIN","Guinea","Canada","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2000,8
"GIN","Guinea","Canada","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2003,28
"GIN","Guinea","Canada","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2014,3
"GIN","Guinea","Canada","Pulses (dried leguminous vegetables)","Other pulses n.e.c.","Import value","1000 USD",2001,234
