"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"GLP","Guadeloupe","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1992,311
"GLP","Guadeloupe","ARG","Argentina","Vegetables","Green garlic","Import value","1000 USD",1992,432
"GLP","Guadeloupe","ARG","Argentina","Vegetables","Green garlic","Import value","1000 USD",1993,334
"GLP","Guadeloupe","ARG","Argentina","Vegetables","Green garlic","Import value","1000 USD",1994,414
"GLP","Guadeloupe","ARG","Argentina","Vegetables","Green garlic","Import value","1000 USD",1995,574
"GLP","Guadeloupe","BRA","Brazil","Fruits and nuts","Brazil nuts, in shell","Import value","1000 USD",1995,1
"GLP","Guadeloupe","BRA","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1992,210
"GLP","Guadeloupe","BRA","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1993,229
"GLP","Guadeloupe","BRA","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1994,255
"GLP","Guadeloupe","BRA","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1995,171
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Cloves (whole stems), raw","Import value","1000 USD",1992,5
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1992,252
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1993,68
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1994,131
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1995,162
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",1992,37
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",1993,64
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",1994,36
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1992,45
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1993,31
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1994,78
"GLP","Guadeloupe","BRA","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1995,64
"GLP","Guadeloupe","CMR","Cameroon","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1993,50
"GLP","Guadeloupe","CMR","Cameroon","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1994,68
"GLP","Guadeloupe","CMR","Cameroon","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1995,206
"GLP","Guadeloupe","CAN","Canada","Cereals","Barley","Import value","1000 USD",1992,1
"GLP","Guadeloupe","CAN","Canada","Live animals","Other live animals non food, n.e.c.","Import value","1000 USD",1993,2
"GLP","Guadeloupe","CAN","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1992,335
"GLP","Guadeloupe","CAN","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1993,270
"GLP","Guadeloupe","CAN","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1994,368
"GLP","Guadeloupe","CAN","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1995,586
"GLP","Guadeloupe","CAN","Canada","Vegetables","Carrots and turnips","Import value","1000 USD",1995,64
"GLP","Guadeloupe","LKA","Sri Lanka","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1992,8
"GLP","Guadeloupe","LKA","Sri Lanka","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1993,14
"GLP","Guadeloupe","LKA","Sri Lanka","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1994,14
"GLP","Guadeloupe","LKA","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1992,93
"GLP","Guadeloupe","LKA","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1993,143
"GLP","Guadeloupe","LKA","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1994,104
"GLP","Guadeloupe","LKA","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1995,47
"GLP","Guadeloupe","TCD","Chad","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",1994,8
"GLP","Guadeloupe","TCD","Chad","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",1995,9
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Apples","Import value","1000 USD",1993,171
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Cherries","Import value","1000 USD",1992,2
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Cherries","Import value","1000 USD",1994,7
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1992,109
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1993,177
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1994,190
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1995,261
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Kiwi fruit","Import value","1000 USD",1992,9
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Kiwi fruit","Import value","1000 USD",1993,17
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Other fruits, n.e.c.","Import value","1000 USD",1994,15
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1992,28
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1993,26
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1994,27
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1995,38
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Pears","Import value","1000 USD",1992,47
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Pears","Import value","1000 USD",1993,31
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Pears","Import value","1000 USD",1994,36
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Pears","Import value","1000 USD",1995,54
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1992,25
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1993,19
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1994,25
"GLP","Guadeloupe","CHL","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1995,41
"GLP","Guadeloupe","CHN","China","Forage, fibers, and other crops (CPC code 019)","Cotton lint, ginned","Import value","1000 USD",1995,2
"GLP","Guadeloupe","CHN","China","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",1993,6
"GLP","Guadeloupe","CHN","China","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",1994,10
"GLP","Guadeloupe","CHN","China","Fruits and nuts","Pistachios, in shell","Import value","1000 USD",1994,18
"GLP","Guadeloupe","CHN","China","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",1992,61
"GLP","Guadeloupe","CHN","China","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",1995,2
"GLP","Guadeloupe","CHN","China","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1995,1
"GLP","Guadeloupe","CHN","China","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",1995,1
"GLP","Guadeloupe","CHN","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1992,23
"GLP","Guadeloupe","CHN","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1993,20
"GLP","Guadeloupe","CHN","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1994,40
"GLP","Guadeloupe","CHN","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1995,54
"GLP","Guadeloupe","COL","Colombia","Fruits and nuts","Grapes","Import value","1000 USD",1992,78
"GLP","Guadeloupe","COL","Colombia","Fruits and nuts","Strawberries","Import value","1000 USD",1992,60
"GLP","Guadeloupe","COL","Colombia","Fruits and nuts","Strawberries","Import value","1000 USD",1993,113
"GLP","Guadeloupe","COL","Colombia","Fruits and nuts","Strawberries","Import value","1000 USD",1994,125
"GLP","Guadeloupe","COL","Colombia","Fruits and nuts","Strawberries","Import value","1000 USD",1995,83
