"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"GMB","Gambia","Afghanistan","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2002,1
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2010,517
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2011,511
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2012,660
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2013,419
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2014,213
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2018,540
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2019,985
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2020,790
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2021,1984
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2022,1529
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2023,441
"GMB","Gambia","Algeria","Beverages","Beverages","Import value","1000 USD",2024,2480
"GMB","Gambia","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2024,10
"GMB","Gambia","Antigua and Barbuda","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2023,243
"GMB","Gambia","Antigua and Barbuda","Cereals","Wheat","Import value","1000 USD",2021,3431
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2016,4
"GMB","Gambia","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2014,3
"GMB","Gambia","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2018,13
"GMB","Gambia","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2019,77
"GMB","Gambia","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2020,61
"GMB","Gambia","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2021,113
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2015,4
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2018,3
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2019,22
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2020,14
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2021,7
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2022,49
"GMB","Gambia","Argentina","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2024,42
"GMB","Gambia","Argentina","Vegetables","Peas, green","Import value","1000 USD",2019,3
"GMB","Gambia","Argentina","Vegetables","Peas, green","Import value","1000 USD",2021,20
"GMB","Gambia","Argentina","Vegetables","Peas, green","Import value","1000 USD",2022,16
"GMB","Gambia","Argentina","Cereals","Wheat","Import value","1000 USD",2018,1407
"GMB","Gambia","Argentina","Cereals","Wheat","Import value","1000 USD",2021,8713
"GMB","Gambia","Australia","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Import value","1000 USD",2016,1
"GMB","Gambia","Australia","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Other fibre crops, raw, n.e.c.","Import value","1000 USD",2023,10
"GMB","Gambia","Austria","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Import value","1000 USD",2016,1
"GMB","Gambia","Austria","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in primary forms","Import value","1000 USD",2001,1
"GMB","Gambia","Austria","Pulses (dried leguminous vegetables)","Peas, dry","Import value","1000 USD",2019,12
"GMB","Gambia","Belgium","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2020,1
"GMB","Gambia","Belgium","Beverages","Beverages","Import value","1000 USD",2007,64
"GMB","Gambia","Belgium","Beverages","Beverages","Import value","1000 USD",2014,249
"GMB","Gambia","Belgium","Fruits and nuts","Brazil nuts, in shell","Export value","1000 USD",2011,6
"GMB","Gambia","Belgium","Vegetables","Carrots and turnips","Import value","1000 USD",2017,9
"GMB","Gambia","Belgium","Live animals","Cattle","Import value","1000 USD",2013,1
"GMB","Gambia","Belgium","Cereals","Cereals n.e.c.","Import value","1000 USD",2010,2
"GMB","Gambia","Belgium","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2013,1
"GMB","Gambia","Belgium","Live animals","Chickens","Import value","1000 USD",2000,6
"GMB","Gambia","Belgium","Live animals","Chickens","Import value","1000 USD",2003,3
"GMB","Gambia","Belgium","Live animals","Chickens","Import value","1000 USD",2011,21
"GMB","Gambia","Belgium","Live animals","Chickens","Import value","1000 USD",2013,13
"GMB","Gambia","Belgium","Live animals","Chickens","Import value","1000 USD",2018,10
"GMB","Gambia","Belgium","Live animals","Chickens","Import value","1000 USD",2024,17
"GMB","Gambia","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Import value","1000 USD",2001,6
"GMB","Gambia","Belgium","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2000,3
"GMB","Gambia","Belgium","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2002,1
