"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"HND","Honduras","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2006,26
"HND","Honduras","Algeria","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Import value","1000 USD",1994,30
"HND","Honduras","Argentina","Live animals","Bees","Import value","1000 USD",2015,7
"HND","Honduras","Argentina","Vegetables","Broad beans and horse beans, green","Import value","1000 USD",2008,801
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Cocoa beans","Import value","1000 USD",2002,1
"HND","Honduras","Argentina","Other animal products","Hides, wet-salted of cattle","Import value","1000 USD",1994,2
"HND","Honduras","Argentina","Oilseeds and oleaginous fruits","Linseed","Import value","1000 USD",2008,13
"HND","Honduras","Argentina","Oilseeds and oleaginous fruits","Linseed","Import value","1000 USD",2012,31
"HND","Honduras","Argentina","Oilseeds and oleaginous fruits","Linseed","Import value","1000 USD",2024,12
"HND","Honduras","Argentina","Cereals","Maize (corn)","Export value","1000 USD",1999,7
"HND","Honduras","Argentina","Cereals","Maize (corn)","Export value","1000 USD",2007,58
"HND","Honduras","Argentina","Cereals","Maize (corn)","Export value","1000 USD",2008,147
"HND","Honduras","Argentina","Cereals","Maize (corn)","Export value","1000 USD",2009,23
"HND","Honduras","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2012,9334
"HND","Honduras","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2014,7689
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2009,1
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2012,3
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2016,4
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2018,3
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2019,3
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2020,3
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2021,7
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2023,2
"HND","Honduras","Argentina","Stimulant, spice and aromatic crops","Maté leaves","Import value","1000 USD",2024,3
