"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"HRV","Croatia","Afghanistan","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Export value","1000 USD",1992,120
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2009,51
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2018,31
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2020,50
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2021,144
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2022,71
"HRV","Croatia","Albania","Live animals","Asses","Import value","1000 USD",1995,15
"HRV","Croatia","Albania","Live animals","Asses","Import value","1000 USD",1996,12
"HRV","Croatia","Albania","Live animals","Asses","Import value","1000 USD",1998,3
"HRV","Croatia","Albania","Vegetables","Broad beans and horse beans, green","Import value","1000 USD",2019,24
"HRV","Croatia","Albania","Vegetables","Cabbages","Import value","1000 USD",2019,538
"HRV","Croatia","Albania","Vegetables","Cabbages","Import value","1000 USD",2020,700
"HRV","Croatia","Albania","Vegetables","Cabbages","Import value","1000 USD",2021,984
"HRV","Croatia","Albania","Vegetables","Cabbages","Import value","1000 USD",2022,968
"HRV","Croatia","Albania","Vegetables","Cabbages","Import value","1000 USD",2023,1178
"HRV","Croatia","Albania","Vegetables","Cabbages","Import value","1000 USD",2024,1320
"HRV","Croatia","Albania","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2012,71
"HRV","Croatia","Albania","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2013,128
"HRV","Croatia","Albania","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2021,97
"HRV","Croatia","Albania","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2022,124
"HRV","Croatia","Albania","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2023,194
"HRV","Croatia","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",1995,4
"HRV","Croatia","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2019,1355
"HRV","Croatia","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2020,2731
"HRV","Croatia","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2021,3048
"HRV","Croatia","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2022,3923
"HRV","Croatia","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2023,5689
"HRV","Croatia","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2024,6151
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2017,219
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2018,389
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2019,751
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2020,724
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2021,997
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2022,1607
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2023,1843
"HRV","Croatia","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2024,3318
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2014,156
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2015,96
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2017,130
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2019,162
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2020,163
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2021,306
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2022,418
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2023,463
"HRV","Croatia","Albania","Fruits and nuts","Figs","Import value","1000 USD",2024,735
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2022,51
"HRV","Croatia","Albania","Vegetables","Green garlic","Import value","1000 USD",1993,37
"HRV","Croatia","Albania","Vegetables","Green garlic","Import value","1000 USD",2021,313
"HRV","Croatia","Albania","Vegetables","Green garlic","Import value","1000 USD",2023,1731
"HRV","Croatia","Albania","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Import value","1000 USD",2023,1607
"HRV","Croatia","Albania","Other animal products","Hides, wet-salted of cattle","Import value","1000 USD",2012,572
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2019,18
"HRV","Croatia","Albania","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2023,15
"HRV","Croatia","Albania","Oilseeds and oleaginous fruits","Linseed","Export value","1000 USD",2021,21
"HRV","Croatia","Albania","Cereals","Maize (corn)","Export value","1000 USD",2010,3084
"HRV","Croatia","Albania","Cereals","Maize (corn)","Export value","1000 USD",2011,4064
"HRV","Croatia","Albania","Cereals","Maize (corn)","Export value","1000 USD",2012,2085
"HRV","Croatia","Albania","Vegetables","Onions and shallots, dry (excluding dehydrated)","Export value","1000 USD",2015,150
"HRV","Croatia","Albania","Vegetables","Onions and shallots, dry (excluding dehydrated)","Export value","1000 USD",2016,24
"HRV","Croatia","Albania","Vegetables","Other beans, green","Import value","1000 USD",1993,29
"HRV","Croatia","Albania","Vegetables","Other beans, green","Import value","1000 USD",2021,35
