"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"HUN","Hungary","AFG","Afghanistan","Fruits and nuts","Pomelos and grapefruits","Import value","1000 USD",1994,23
"HUN","Hungary","ALB","Albania","Cereals","Rice","Export value","1000 USD",1992,10
"HUN","Hungary","ALB","Albania","Cereals","Wheat","Export value","1000 USD",1992,7546
"HUN","Hungary","ALB","Albania","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2016,96
"HUN","Hungary","ALB","Albania","Forage, fibers, and other crops (CPC code 019)","Natural rubber in other forms","Export value","1000 USD",2006,1
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",1995,221
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",1996,152
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",1997,233
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2013,210
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2017,360
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2018,466
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2019,904
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2020,886
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2021,557
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2022,571
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2023,528
"HUN","Hungary","ALB","Albania","Fruits and nuts","Chestnuts, in shell","Import value","1000 USD",2024,846
"HUN","Hungary","ALB","Albania","Fruits and nuts","Walnuts, in shell","Export value","1000 USD",2022,121
"HUN","Hungary","ALB","Albania","Live animals","Cattle","Export value","1000 USD",2024,11704
"HUN","Hungary","ALB","Albania","Live animals","Chickens","Export value","1000 USD",1996,762
"HUN","Hungary","ALB","Albania","Live animals","Ducks","Export value","1000 USD",2010,13
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",1995,166
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",2005,1684
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",2006,1453
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",2008,2956
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",2017,3205
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",2022,4222
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",2023,6130
"HUN","Hungary","ALB","Albania","Live animals","Swine / pigs","Export value","1000 USD",2024,5841
"HUN","Hungary","ALB","Albania","Other animal products","Beeswax","Export value","1000 USD",1993,15
"HUN","Hungary","ALB","Albania","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",1998,29
"HUN","Hungary","ALB","Albania","Raw milk","Raw milk of cattle","Export value","1000 USD",2003,1167
"HUN","Hungary","ALB","Albania","Raw milk","Raw milk of cattle","Export value","1000 USD",2004,1648
"HUN","Hungary","ALB","Albania","Raw milk","Raw milk of cattle","Export value","1000 USD",2005,1668
"HUN","Hungary","ALB","Albania","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",1996,16
"HUN","Hungary","ALB","Albania","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",1996,40
"HUN","Hungary","ALB","Albania","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",1997,25
"HUN","Hungary","ALB","Albania","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",1998,18
"HUN","Hungary","ALB","Albania","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",1999,14
"HUN","Hungary","ALB","Albania","Stimulant, spice and aromatic crops","Hop cones","Export value","1000 USD",2000,26
"HUN","Hungary","ALB","Albania","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2016,346
"HUN","Hungary","ALB","Albania","Vegetables","Cabbages","Import value","1000 USD",2011,285
"HUN","Hungary","ALB","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2022,858
"HUN","Hungary","ALB","Albania","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",2023,2438
"HUN","Hungary","ALB","Albania","Vegetables","Cucumbers and gherkins","Import value","1000 USD",2023,1494
"HUN","Hungary","ALB","Albania","Vegetables","Watermelons","Import value","1000 USD",2017,370
"HUN","Hungary","ALB","Albania","Vegetables","Watermelons","Import value","1000 USD",2018,354
"HUN","Hungary","ALB","Albania","Vegetables","Watermelons","Import value","1000 USD",2022,671
"HUN","Hungary","ALB","Albania","Vegetables","Watermelons","Import value","1000 USD",2023,1241
"HUN","Hungary","ALB","Albania","Vegetables","Watermelons","Import value","1000 USD",2024,1293
"HUN","Hungary","DZA","Algeria","Cereals","Wheat","Export value","1000 USD",1995,40869
"HUN","Hungary","DZA","Algeria","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",1996,1100
"HUN","Hungary","DZA","Algeria","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",1997,1064
"HUN","Hungary","DZA","Algeria","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",1998,2218
"HUN","Hungary","DZA","Algeria","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",1999,2520
"HUN","Hungary","DZA","Algeria","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2001,810
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1992,1020
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1993,2729
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1994,1212
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1995,2086
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1996,1223
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1997,1879
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1998,2398
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",1999,1039
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",2000,878
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",2001,1134
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",2003,1166
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",2004,629
"HUN","Hungary","DZA","Algeria","Live animals","Chickens","Export value","1000 USD",2023,17698
"HUN","Hungary","DZA","Algeria","Pulses (dried leguminous vegetables)","Peas, dry","Export value","1000 USD",2004,791
"HUN","Hungary","DZA","Algeria","Pulses (dried leguminous vegetables)","Peas, dry","Export value","1000 USD",2005,846
"HUN","Hungary","AZE","Azerbaijan","Fruits and nuts","Hazelnuts, in shell","Import value","1000 USD",1992,36
