"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Cereals","Barley","Export value","1000 USD",2016,2
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Cereals","Maize (corn)","Export value","1000 USD",2018,127
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Cereals","Millet","Import value","1000 USD",2003,39
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2005,4373
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2014,20626
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2016,11959
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2017,17519
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2018,16058
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2020,51444
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",2021,18982
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2016,500
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2018,66
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2005,5045
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2002,1564
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2003,2558
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2004,1288
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2010,10594
"IRN","Iran (Islamic Republic of)","AFG","Afghanistan","Forage, fibers, and other crops (CPC code 019)","Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets","Import value","1000 USD",2021,20
