"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"IRQ","Iraq","ALB","Albania","Vegetables","Tomatoes","Import value","1000 USD",2015,2119
"IRQ","Iraq","DZA","Algeria","Vegetables","Mushrooms and truffles","Import value","1000 USD",2015,11
"IRQ","Iraq","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2015,2484
"IRQ","Iraq","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2016,13684
"IRQ","Iraq","ARG","Argentina","Live animals","Bees","Import value","1000 USD",2015,3
"IRQ","Iraq","ARG","Argentina","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2014,2102
"IRQ","Iraq","ARG","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2014,707
"IRQ","Iraq","ARG","Argentina","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2014,47484
"IRQ","Iraq","ARG","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2015,706
"IRQ","Iraq","ARG","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2016,1334
"IRQ","Iraq","AUS","Australia","Cereals","Wheat","Import value","1000 USD",2014,155667
"IRQ","Iraq","AUS","Australia","Cereals","Wheat","Import value","1000 USD",2015,15788
"IRQ","Iraq","AUS","Australia","Cereals","Wheat","Import value","1000 USD",2016,13511
"IRQ","Iraq","AUS","Australia","Live animals","Bees","Import value","1000 USD",2016,7
"IRQ","Iraq","AUS","Australia","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2016,298
"IRQ","Iraq","AUS","Australia","Pulses (dried leguminous vegetables)","Broad beans and horse beans, dry","Import value","1000 USD",2014,9
"IRQ","Iraq","AUT","Austria","Other animal products","Skins, furs","Import value","1000 USD",2016,4
"IRQ","Iraq","ARM","Armenia","Live animals","Sheep","Import value","1000 USD",2015,160
"IRQ","Iraq","ARM","Armenia","Other groups","Tobacco products","Import value","1000 USD",2015,141391
"IRQ","Iraq","ARM","Armenia","Other groups","Tobacco products","Import value","1000 USD",2016,152397
"IRQ","Iraq","BEL","Belgium","Cereals","Barley","Import value","1000 USD",2016,2
"IRQ","Iraq","BEL","Belgium","Cereals","Canary seed","Import value","1000 USD",2015,28
"IRQ","Iraq","BEL","Belgium","Cereals","Millet","Import value","1000 USD",2016,2
"IRQ","Iraq","BEL","Belgium","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Import value","1000 USD",2016,199
"IRQ","Iraq","BEL","Belgium","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Import value","1000 USD",2015,40612
"IRQ","Iraq","BEL","Belgium","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Import value","1000 USD",2016,38317
"IRQ","Iraq","BEL","Belgium","Live animals","Camels","Import value","1000 USD",2015,8
"IRQ","Iraq","BEL","Belgium","Live animals","Camels","Import value","1000 USD",2016,15
"IRQ","Iraq","BEL","Belgium","Live animals","Chickens","Import value","1000 USD",2016,78
"IRQ","Iraq","BEL","Belgium","Live animals","Ducks","Import value","1000 USD",2016,3
"IRQ","Iraq","BEL","Belgium","Live animals","Geese","Import value","1000 USD",2016,7
"IRQ","Iraq","BEL","Belgium","Live animals","Goats","Import value","1000 USD",2016,1
"IRQ","Iraq","BEL","Belgium","Live animals","Mules and hinnies","Import value","1000 USD",2015,7
"IRQ","Iraq","BEL","Belgium","Live animals","Mules and hinnies","Import value","1000 USD",2016,12
"IRQ","Iraq","BEL","Belgium","Live animals","Other birds","Import value","1000 USD",2015,36
"IRQ","Iraq","BEL","Belgium","Live animals","Other birds","Import value","1000 USD",2016,39
"IRQ","Iraq","BEL","Belgium","Live animals","Other live animals non food, n.e.c.","Import value","1000 USD",2015,447
"IRQ","Iraq","BEL","Belgium","Live animals","Other live animals non food, n.e.c.","Import value","1000 USD",2016,554
"IRQ","Iraq","BEL","Belgium","Live animals","Rabbits and hares","Import value","1000 USD",2016,9
"IRQ","Iraq","BRA","Brazil","Live animals","Cattle","Import value","1000 USD",2014,4561
"IRQ","Iraq","BRA","Brazil","Live animals","Cattle","Import value","1000 USD",2015,12343
"IRQ","Iraq","BRA","Brazil","Live animals","Cattle","Import value","1000 USD",2016,19549
"IRQ","Iraq","BRA","Brazil","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2015,176609
"IRQ","Iraq","BRA","Brazil","Other groups","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2016,340770
"IRQ","Iraq","BRA","Brazil","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2014,53569
"IRQ","Iraq","BRA","Brazil","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2015,91881
"IRQ","Iraq","BRA","Brazil","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2016,117426
