"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"KAZ","Kazakhstan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2017,25
"KAZ","Kazakhstan","Afghanistan","Cereals","Barley","Export value","1000 USD",2009,3019
"KAZ","Kazakhstan","Afghanistan","Cereals","Barley","Export value","1000 USD",2011,6125
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2015,48
"KAZ","Kazakhstan","Afghanistan","Vegetables","Broad beans and horse beans, green","Export value","1000 USD",2000,26
"KAZ","Kazakhstan","Afghanistan","Vegetables","Broad beans and horse beans, green","Export value","1000 USD",2017,126
"KAZ","Kazakhstan","Afghanistan","Cereals","Buckwheat","Export value","1000 USD",2013,127
"KAZ","Kazakhstan","Afghanistan","Oilseeds and oleaginous fruits","Castor oil seeds","Export value","1000 USD",2015,16
"KAZ","Kazakhstan","Afghanistan","Live animals","Cattle","Export value","1000 USD",2005,7
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2000,170
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2003,117
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2004,744
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2005,3621
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2008,3605
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2009,606
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2011,1280
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2012,1579
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2013,82
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2014,229
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2015,171
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2016,349
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2017,352
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2018,155
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2019,423
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2023,626
"KAZ","Kazakhstan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2024,1120
"KAZ","Kazakhstan","Afghanistan","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Import value","1000 USD",1998,33
"KAZ","Kazakhstan","Afghanistan","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Import value","1000 USD",2018,78
"KAZ","Kazakhstan","Afghanistan","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2009,4506
"KAZ","Kazakhstan","Afghanistan","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2021,1
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2017,418
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2018,455
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2019,571
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2020,351
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2021,523
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2022,663
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2023,695
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Eggs from other birds in shell, fresh, n.e.c.","Export value","1000 USD",2024,437
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2000,8016
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2001,1751
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2002,8235
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2003,5893
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2005,16469
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2006,33589
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2007,71253
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2008,377856
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2009,240980
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2011,110950
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2012,173523
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2013,142561
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2014,223179
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2015,231146
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2016,330386
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2017,326737
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2018,287543
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2019,221804
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2020,335571
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2021,277511
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2022,554664
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2023,370058
"KAZ","Kazakhstan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2024,321491
"KAZ","Kazakhstan","Afghanistan","Vegetables","Green garlic","Export value","1000 USD",2023,234
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2016,453
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2017,9288
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2018,12483
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2019,2764
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2020,1869
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2021,5034
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2022,4642
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2023,3524
"KAZ","Kazakhstan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2024,777
"KAZ","Kazakhstan","Afghanistan","Live animals","Horses","Export value","1000 USD",2004,1
"KAZ","Kazakhstan","Afghanistan","Live animals","Horses","Export value","1000 USD",2005,26
"KAZ","Kazakhstan","Afghanistan","Live animals","Horses","Export value","1000 USD",2008,5
"KAZ","Kazakhstan","Afghanistan","Live animals","Horses","Export value","1000 USD",2009,21
