"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"KOR","Republic of Korea","Afghanistan","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2010,49
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",1992,135
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",1993,1251
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",1994,898
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",1996,4424
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",1998,899
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2000,5844
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2001,15718
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2002,42442
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2003,44653
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2006,22343
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2007,66888
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2008,44328
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2009,65732
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2011,80667
"KOR","Republic of Korea","Afghanistan","Tobacco products","Tobacco products","Export value","1000 USD",2012,88655
"KOR","Republic of Korea","Algeria","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2011,3
"KOR","Republic of Korea","Algeria","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2012,24
"KOR","Republic of Korea","Algeria","Vegetables","Broad beans and horse beans, green","Export value","1000 USD",2011,1
"KOR","Republic of Korea","Algeria","Vegetables","Broad beans and horse beans, green","Export value","1000 USD",2024,1
"KOR","Republic of Korea","Algeria","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Export value","1000 USD",2011,1
"KOR","Republic of Korea","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2014,22
"KOR","Republic of Korea","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2015,57
"KOR","Republic of Korea","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2019,51
"KOR","Republic of Korea","Algeria","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2011,3
"KOR","Republic of Korea","Algeria","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2011,1
"KOR","Republic of Korea","Algeria","Stimulant, spice and aromatic crops","Ginger, raw","Export value","1000 USD",2012,19
"KOR","Republic of Korea","Algeria","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Export value","1000 USD",2011,1
"KOR","Republic of Korea","Algeria","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Export value","1000 USD",2011,4
"KOR","Republic of Korea","Algeria","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Export value","1000 USD",2012,7
"KOR","Republic of Korea","Algeria","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Export value","1000 USD",2012,25
"KOR","Republic of Korea","Algeria","Oilseeds and oleaginous fruits","Soya beans","Export value","1000 USD",2011,97
"KOR","Republic of Korea","Algeria","Oilseeds and oleaginous fruits","Soya beans","Export value","1000 USD",2012,37
"KOR","Republic of Korea","Algeria","Sugar crops","Sugar cane","Import value","1000 USD",2015,27
"KOR","Republic of Korea","Algeria","Sugar crops","Sugar cane","Import value","1000 USD",2016,33
"KOR","Republic of Korea","Angola","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Other fibre crops, raw, n.e.c.","Export value","1000 USD",2014,3
"KOR","Republic of Korea","Angola","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Export value","1000 USD",1996,8049
