"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2016,1
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2017,13
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2018,63
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2019,3
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2020,2
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2016,2
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2017,1
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2018,13
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2019,2
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2020,1
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Yams","Export value","1000 USD",2016,2
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Yams","Export value","1000 USD",2017,4
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Yams","Export value","1000 USD",2018,45
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Yams","Export value","1000 USD",2019,16
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Yams","Export value","1000 USD",2020,2
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Fruits and nuts","Avocados","Export value","1000 USD",2018,16
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Fruits and nuts","Avocados","Export value","1000 USD",2019,2
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Fruits and nuts","Bananas","Export value","1000 USD",2016,571
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Fruits and nuts","Bananas","Export value","1000 USD",2017,623
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Fruits and nuts","Bananas","Export value","1000 USD",2018,986
"LCA","Saint Lucia","ATG","Antigua and Barbuda","Fruits and nuts","Bananas","Export value","1000 USD",2019,847
