"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"LUX","Luxembourg","Azerbaijan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2015,6
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Areca nuts","Export value","1000 USD",2022,6
"LUX","Luxembourg","Azerbaijan","Vegetables","Asparagus","Export value","1000 USD",2013,21
"LUX","Luxembourg","Azerbaijan","Vegetables","Asparagus","Export value","1000 USD",2014,20
"LUX","Luxembourg","Azerbaijan","Vegetables","Asparagus","Export value","1000 USD",2015,38
"LUX","Luxembourg","Azerbaijan","Vegetables","Asparagus","Export value","1000 USD",2017,30
"LUX","Luxembourg","Azerbaijan","Vegetables","Asparagus","Export value","1000 USD",2018,38
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2009,8
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2010,10
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2011,15
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2012,23
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2013,27
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2014,26
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2015,19
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2021,58
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Avocados","Export value","1000 USD",2022,56
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Blueberries","Export value","1000 USD",2009,2
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Blueberries","Export value","1000 USD",2010,8
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Blueberries","Export value","1000 USD",2011,12
"LUX","Luxembourg","Azerbaijan","Fruits and nuts","Blueberries","Export value","1000 USD",2012,17
