"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"MDG","Madagascar","Algeria","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2008,276
"MDG","Madagascar","Algeria","Fruits and nuts","Cashew nuts, in shell","Export value","1000 USD",2023,51
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2004,180
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2010,715
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2011,1071
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2012,2144
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2013,1276
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2022,1325
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1995,4923
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1996,3456
"MDG","Madagascar","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1999,1032
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",1996,4
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",1999,3
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2006,1
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2007,5
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2008,3
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2011,3
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2012,3
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2013,3
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2014,2
"MDG","Madagascar","Algeria","Fruits and nuts","Dates","Import value","1000 USD",2015,3
