"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"MTQ","Martinique","Algeria","Live animals","Horses","Import value","1000 USD",1995,106
"MTQ","Martinique","Angola","Fruits and nuts","Pears","Import value","1000 USD",1993,11
"MTQ","Martinique","Angola","Fruits and nuts","Pears","Import value","1000 USD",1994,8
"MTQ","Martinique","Angola","Fruits and nuts","Plums and sloes","Import value","1000 USD",1993,24
"MTQ","Martinique","Argentina","Vegetables","Green garlic","Import value","1000 USD",1992,422
"MTQ","Martinique","Argentina","Vegetables","Green garlic","Import value","1000 USD",1993,551
"MTQ","Martinique","Argentina","Vegetables","Green garlic","Import value","1000 USD",1994,277
"MTQ","Martinique","Argentina","Vegetables","Green garlic","Import value","1000 USD",1995,425
"MTQ","Martinique","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1992,316
"MTQ","Martinique","Australia","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",1994,4
"MTQ","Martinique","Barbados","Live animals","Horses","Export value","1000 USD",1992,3
"MTQ","Martinique","Barbados","Live animals","Horses","Export value","1000 USD",1993,4
"MTQ","Martinique","Barbados","Live animals","Horses","Export value","1000 USD",1994,13
"MTQ","Martinique","Barbados","Live animals","Horses","Export value","1000 USD",1995,18
"MTQ","Martinique","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1992,275
"MTQ","Martinique","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1993,226
"MTQ","Martinique","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1994,224
"MTQ","Martinique","Brazil","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1995,208
"MTQ","Martinique","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1992,82
"MTQ","Martinique","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1993,72
"MTQ","Martinique","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1994,86
"MTQ","Martinique","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",1995,14
"MTQ","Martinique","Canada","Fruits and nuts","Apricots","Import value","1000 USD",1992,1
"MTQ","Martinique","Canada","Vegetables","Cantaloupes and other melons","Import value","1000 USD",1992,1
"MTQ","Martinique","Canada","Vegetables","Carrots and turnips","Import value","1000 USD",1995,209
"MTQ","Martinique","Canada","Fruits and nuts","Cherries","Import value","1000 USD",1992,6
"MTQ","Martinique","Canada","Vegetables","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Import value","1000 USD",1992,6
"MTQ","Martinique","Canada","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1995,18
"MTQ","Martinique","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1992,175
"MTQ","Martinique","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1993,117
"MTQ","Martinique","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1994,280
"MTQ","Martinique","Canada","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1995,392
"MTQ","Martinique","Canada","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1992,10
"MTQ","Martinique","Canada","Vegetables","Pumpkins, squash and gourds","Import value","1000 USD",1992,9
"MTQ","Martinique","Central African Republic","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1992,159
"MTQ","Martinique","Central African Republic","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1993,206
"MTQ","Martinique","Central African Republic","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1994,291
"MTQ","Martinique","Central African Republic","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",1995,113
"MTQ","Martinique","Sri Lanka","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1995,4
"MTQ","Martinique","Sri Lanka","Stimulant, spice and aromatic crops","Cloves (whole stems), raw","Import value","1000 USD",1995,3
"MTQ","Martinique","Sri Lanka","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1992,6
"MTQ","Martinique","Sri Lanka","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1993,5
"MTQ","Martinique","Sri Lanka","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1994,16
"MTQ","Martinique","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1992,50
"MTQ","Martinique","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1993,66
"MTQ","Martinique","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1994,37
"MTQ","Martinique","Sri Lanka","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1995,29
"MTQ","Martinique","Chile","Fruits and nuts","Apples","Import value","1000 USD",1993,115
"MTQ","Martinique","Chile","Fruits and nuts","Cherries","Import value","1000 USD",1995,3
"MTQ","Martinique","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1992,74
"MTQ","Martinique","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1993,194
"MTQ","Martinique","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1994,156
"MTQ","Martinique","Chile","Fruits and nuts","Grapes","Import value","1000 USD",1995,106
"MTQ","Martinique","Chile","Fruits and nuts","Kiwi fruit","Import value","1000 USD",1993,16
"MTQ","Martinique","Chile","Fruits and nuts","Other fruits, n.e.c.","Import value","1000 USD",1993,58
"MTQ","Martinique","Chile","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1992,8
"MTQ","Martinique","Chile","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1994,29
"MTQ","Martinique","Chile","Fruits and nuts","Peaches and nectarines","Import value","1000 USD",1995,7
"MTQ","Martinique","Chile","Fruits and nuts","Pears","Import value","1000 USD",1992,24
"MTQ","Martinique","Chile","Fruits and nuts","Pears","Import value","1000 USD",1994,9
"MTQ","Martinique","Chile","Fruits and nuts","Pears","Import value","1000 USD",1995,18
"MTQ","Martinique","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1992,13
"MTQ","Martinique","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1993,18
"MTQ","Martinique","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1994,46
"MTQ","Martinique","Chile","Fruits and nuts","Plums and sloes","Import value","1000 USD",1995,7
"MTQ","Martinique","Chile","Fruits and nuts","Strawberries","Import value","1000 USD",1992,2
"MTQ","Martinique","China","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",1994,2
"MTQ","Martinique","China","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1995,2
"MTQ","Martinique","China","Vegetables","Green garlic","Import value","1000 USD",1993,102
"MTQ","Martinique","China","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1994,22
"MTQ","Martinique","China","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Import value","1000 USD",1995,41
"MTQ","Martinique","China","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",1992,52
"MTQ","Martinique","China","Other animal products","Natural honey","Import value","1000 USD",1995,20
"MTQ","Martinique","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1992,10
"MTQ","Martinique","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1993,18
"MTQ","Martinique","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1994,15
"MTQ","Martinique","China","Stimulant, spice and aromatic crops","Tea leaves","Import value","1000 USD",1995,48
"MTQ","Martinique","Colombia","Fruits and nuts","Strawberries","Import value","1000 USD",1992,10
"MTQ","Martinique","Colombia","Fruits and nuts","Strawberries","Import value","1000 USD",1993,3
"MTQ","Martinique","Colombia","Fruits and nuts","Strawberries","Import value","1000 USD",1995,2
"MTQ","Martinique","Comoros","Stimulant, spice and aromatic crops","Cloves (whole stems), raw","Import value","1000 USD",1992,17
"MTQ","Martinique","Comoros","Stimulant, spice and aromatic crops","Cloves (whole stems), raw","Import value","1000 USD",1993,13
"MTQ","Martinique","Comoros","Stimulant, spice and aromatic crops","Cloves (whole stems), raw","Import value","1000 USD",1994,13
"MTQ","Martinique","Comoros","Stimulant, spice and aromatic crops","Cloves (whole stems), raw","Import value","1000 USD",1995,2
"MTQ","Martinique","Comoros","Stimulant, spice and aromatic crops","Vanilla, raw","Import value","1000 USD",1992,12
"MTQ","Martinique","Cuba","Fruits and nuts","Lemons and limes","Import value","1000 USD",1995,48
"MTQ","Martinique","Cuba","Fruits and nuts","Oranges","Import value","1000 USD",1992,222
"MTQ","Martinique","Cuba","Fruits and nuts","Oranges","Import value","1000 USD",1993,108
"MTQ","Martinique","Cuba","Fruits and nuts","Oranges","Import value","1000 USD",1994,79
"MTQ","Martinique","Cyprus","Fruits and nuts","Tangerines, mandarins, clementines","Import value","1000 USD",1994,5
"MTQ","Martinique","Denmark","Beverages","Beverages","Import value","1000 USD",1995,3114
"MTQ","Martinique","Dominica","Fruits and nuts","Avocados","Import value","1000 USD",1993,2
"MTQ","Martinique","Dominica","Fruits and nuts","Bananas","Import value","1000 USD",1995,10
"MTQ","Martinique","Dominica","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1994,1
"MTQ","Martinique","Dominica","Stimulant, spice and aromatic crops","Cinnamon and cinnamon-tree flowers, raw","Import value","1000 USD",1995,1
"MTQ","Martinique","Dominica","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1994,17
"MTQ","Martinique","Dominica","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",1995,17
"MTQ","Martinique","Dominica","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Import value","1000 USD",1992,4
"MTQ","Martinique","Dominica","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Import value","1000 USD",1993,56
"MTQ","Martinique","Dominica","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Import value","1000 USD",1994,39
"MTQ","Martinique","Dominica","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Import value","1000 USD",1995,21
"MTQ","Martinique","Dominica","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",1992,4
"MTQ","Martinique","Dominica","Stimulant, spice and aromatic crops","Ginger, raw","Import value","1000 USD",1994,1
"MTQ","Martinique","Dominica","Fruits and nuts","Other citrus fruit, n.e.c.","Import value","1000 USD",1992,2
"MTQ","Martinique","Dominica","Fruits and nuts","Other citrus fruit, n.e.c.","Import value","1000 USD",1994,2
"MTQ","Martinique","Dominica","Fruits and nuts","Pomelos and grapefruits","Import value","1000 USD",1992,33
