"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"MYS","Malaysia","AFG","Afghanistan","Oilseeds and oleaginous fruits","Poppy seed","Import value","1000 USD",2016,131
"MYS","Malaysia","AFG","Afghanistan","Oilseeds and oleaginous fruits","Poppy seed","Import value","1000 USD",2017,325
"MYS","Malaysia","AFG","Afghanistan","Oilseeds and oleaginous fruits","Poppy seed","Import value","1000 USD",2018,174
"MYS","Malaysia","AFG","Afghanistan","Oilseeds and oleaginous fruits","Poppy seed","Import value","1000 USD",2023,3686
"MYS","Malaysia","AFG","Afghanistan","Other animal products","Beeswax","Export value","1000 USD",2001,29
"MYS","Malaysia","AFG","Afghanistan","Other groups","Tobacco products","Export value","1000 USD",1992,2456
"MYS","Malaysia","AFG","Afghanistan","Other groups","Tobacco products","Export value","1000 USD",1993,2054
"MYS","Malaysia","AFG","Afghanistan","Other groups","Tobacco products","Export value","1000 USD",1994,2390
"MYS","Malaysia","DZA","Algeria","Other animal products","Beeswax","Export value","1000 USD",2008,75
"MYS","Malaysia","DZA","Algeria","Other animal products","Beeswax","Export value","1000 USD",2017,34
"MYS","Malaysia","DZA","Algeria","Other groups","Dairy products and egg products","Export value","1000 USD",2009,8686
"MYS","Malaysia","DZA","Algeria","Other groups","Dairy products and egg products","Export value","1000 USD",2019,23588
"MYS","Malaysia","AGO","Angola","Cereals","Sorghum","Export value","1000 USD",2023,2
"MYS","Malaysia","AGO","Angola","Live animals","Other live animals, n.e.c.","Import value","1000 USD",2024,64
"MYS","Malaysia","AGO","Angola","Other animal products","Beeswax","Export value","1000 USD",2012,1649
"MYS","Malaysia","AGO","Angola","Other groups","Dairy products and egg products","Export value","1000 USD",2013,15222
"MYS","Malaysia","AGO","Angola","Other groups","Dairy products and egg products","Export value","1000 USD",2017,15502
"MYS","Malaysia","AGO","Angola","Other groups","Dairy products and egg products","Export value","1000 USD",2018,16749
"MYS","Malaysia","AGO","Angola","Other groups","Dairy products and egg products","Export value","1000 USD",2019,20993
"MYS","Malaysia","ARG","Argentina","Cereals","Cereals n.e.c.","Import value","1000 USD",1993,2
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1993,16575
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1995,84311
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1996,126839
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1998,33784
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",1999,34425
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2001,88892
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2004,99517
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2005,239202
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2006,267930
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2007,310696
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2008,62864
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2009,98524
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2010,377521
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2011,419122
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2012,420047
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2013,433401
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2014,403307
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2015,371163
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2016,383794
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2017,390999
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2018,479597
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2019,466264
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2020,567556
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2021,836247
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2022,952273
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2023,741919
"MYS","Malaysia","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2024,792282
"MYS","Malaysia","ARG","Argentina","Cereals","Sorghum","Import value","1000 USD",1996,528
"MYS","Malaysia","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2005,17043
"MYS","Malaysia","ARG","Argentina","Cereals","Wheat","Import value","1000 USD",2007,38291
"MYS","Malaysia","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2019,591
"MYS","Malaysia","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2020,1182
"MYS","Malaysia","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2021,1010
"MYS","Malaysia","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2022,897
"MYS","Malaysia","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2023,1310
"MYS","Malaysia","ARG","Argentina","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Import value","1000 USD",2024,1429
"MYS","Malaysia","ARG","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",1999,27
"MYS","Malaysia","ARG","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",2000,29
"MYS","Malaysia","ARG","Argentina","Fruits and nuts","Lemons and limes","Import value","1000 USD",2002,69
