"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"NPL","Nepal","AFG","Afghanistan","Forage, fibers, and other crops (CPC code 019)","Unmanufactured tobacco","Export value","1000 USD",2012,44
"NPL","Nepal","AFG","Afghanistan","Other groups","Tobacco products","Export value","1000 USD",2013,7589
"NPL","Nepal","AFG","Afghanistan","Other groups","Tobacco products","Export value","1000 USD",2014,15799
"NPL","Nepal","AFG","Afghanistan","Other groups","Tobacco products","Export value","1000 USD",2015,9116
"NPL","Nepal","AFG","Afghanistan","Other groups","Tobacco products","Export value","1000 USD",2016,281
"NPL","Nepal","AFG","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2013,224
"NPL","Nepal","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2011,3182
"NPL","Nepal","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2013,2345
"NPL","Nepal","ARG","Argentina","Cereals","Maize (corn)","Import value","1000 USD",2021,10530
"NPL","Nepal","ARG","Argentina","Live animals","Other live animals, n.e.c.","Import value","1000 USD",2019,24
"NPL","Nepal","ARG","Argentina","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Import value","1000 USD",2017,6
"NPL","Nepal","ARG","Argentina","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Import value","1000 USD",2018,8
"NPL","Nepal","ARG","Argentina","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Import value","1000 USD",2022,15
"NPL","Nepal","ARG","Argentina","Oilseeds and oleaginous fruits","Rape or colza seed","Import value","1000 USD",2017,2821
"NPL","Nepal","ARG","Argentina","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2014,6907
"NPL","Nepal","ARG","Argentina","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2015,6998
"NPL","Nepal","ARG","Argentina","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2016,2479
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2003,11797
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2009,80371
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2010,68695
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2011,95491
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2012,68694
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2013,166526
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2014,98900
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2015,61273
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2016,76699
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2017,126753
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2018,70247
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2019,89488
"NPL","Nepal","ARG","Argentina","Other groups","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2020,212974
