"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"QAT","Qatar","AFG","Afghanistan","Fruits and nuts","Areca nuts","Import value","1000 USD",2022,16
"QAT","Qatar","AFG","Afghanistan","Fruits and nuts","Areca nuts","Import value","1000 USD",2023,226
"QAT","Qatar","AFG","Afghanistan","Fruits and nuts","Figs","Import value","1000 USD",2023,478
"QAT","Qatar","AFG","Afghanistan","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",2020,79
"QAT","Qatar","AFG","Afghanistan","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",2021,301
"QAT","Qatar","AFG","Afghanistan","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Import value","1000 USD",2022,144
"QAT","Qatar","AFG","Afghanistan","Other groups","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2021,106
"QAT","Qatar","AFG","Afghanistan","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2016,92
"QAT","Qatar","AFG","Afghanistan","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2017,243
"QAT","Qatar","AFG","Afghanistan","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2019,88
"QAT","Qatar","AFG","Afghanistan","Pulses (dried leguminous vegetables)","Lentils, dry","Export value","1000 USD",2000,40
"QAT","Qatar","AFG","Afghanistan","Stimulant, spice and aromatic crops","Tea leaves","Export value","1000 USD",2021,56
"QAT","Qatar","DZA","Algeria","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2022,1821
"QAT","Qatar","DZA","Algeria","Vegetables","Cantaloupes and other melons","Import value","1000 USD",2023,1802
"QAT","Qatar","DZA","Algeria","Vegetables","Eggplants (aubergines)","Export value","1000 USD",2004,30
"QAT","Qatar","DZA","Algeria","Vegetables","Mushrooms and truffles","Import value","1000 USD",2003,4
