"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"SGP","Singapore","AFG","Afghanistan","Fruits and nuts","Areca nuts","Export value","1000 USD",2018,1889
"SGP","Singapore","AFG","Afghanistan","Fruits and nuts","Areca nuts","Export value","1000 USD",2019,6645
"SGP","Singapore","AFG","Afghanistan","Fruits and nuts","Areca nuts","Export value","1000 USD",2020,5662
"SGP","Singapore","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",1998,455
"SGP","Singapore","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",1999,882
"SGP","Singapore","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2000,935
"SGP","Singapore","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2005,2115
"SGP","Singapore","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2006,4667
"SGP","Singapore","AFG","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2007,6012
"SGP","Singapore","DZA","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1995,18100
"SGP","Singapore","DZA","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1996,12094
"SGP","Singapore","DZA","Algeria","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",1997,8066
"SGP","Singapore","AGO","Angola","Forage, fibers, and other crops (CPC code 019)","Jute, raw or retted","Export value","1000 USD",2023,1
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2006,16069
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2008,35466
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2009,29786
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2010,52059
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2011,55736
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2012,39817
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2013,40195
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2014,33865
"SGP","Singapore","AGO","Angola","Other groups","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2015,27663
