"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"SLV","El Salvador","Algeria","Fruits and nuts","Locust beans (carobs)","Import value","1000 USD",2024,1
"SLV","El Salvador","Argentina","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2024,57
"SLV","El Salvador","Argentina","Beverages","Beverages","Import value","1000 USD",2012,6526
"SLV","El Salvador","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2012,59
"SLV","El Salvador","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2015,35
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2002,8
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2003,35
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2004,32
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2005,17
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2008,56
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2010,27
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2011,34
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2013,18
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2017,30
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2018,15
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2019,16
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2020,58
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2022,13
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2023,23
"SLV","El Salvador","Argentina","Live animals","Horses","Import value","1000 USD",2024,25
"SLV","El Salvador","Argentina","Oilseeds and oleaginous fruits","Linseed","Import value","1000 USD",2011,57
"SLV","El Salvador","Argentina","Oilseeds and oleaginous fruits","Linseed","Import value","1000 USD",2012,25
