"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"STP","Sao Tome and Principe","Angola","Beverages","Beverages","Export value","1000 USD",2003,15
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2003,39
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2009,1
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2012,4
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2013,11
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2014,4
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2015,2
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2018,83
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2020,2
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2022,75
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2023,2
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Copra","Export value","1000 USD",2009,2
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Copra","Export value","1000 USD",2012,2
"STP","Sao Tome and Principe","Angola","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2003,2
"STP","Sao Tome and Principe","Angola","Stimulant, spice and aromatic crops","Hop cones","Import value","1000 USD",2015,4
"STP","Sao Tome and Principe","Angola","Live animals","Horses","Import value","1000 USD",2014,1
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2009,51
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2012,15
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2013,93
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2014,139
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2015,136
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2016,13
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2017,154
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2018,60
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2019,33
"STP","Sao Tome and Principe","Angola","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2022,463
"STP","Sao Tome and Principe","Angola","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Natural rubber in other forms","Import value","1000 USD",2015,1
"STP","Sao Tome and Principe","Angola","Fruits and nuts","Other fruits, n.e.c.","Export value","1000 USD",2014,5
"STP","Sao Tome and Principe","Angola","Fruits and nuts","Other fruits, n.e.c.","Export value","1000 USD",2015,2
"STP","Sao Tome and Principe","Angola","Live animals","Other live animals, n.e.c.","Import value","1000 USD",2021,2
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Export value","1000 USD",2012,1
"STP","Sao Tome and Principe","Angola","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Export value","1000 USD",2013,1
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Export value","1000 USD",2016,1
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2009,33
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2012,73
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2013,158
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2014,326
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2015,212
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2016,217
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2017,217
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2018,153
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2019,176
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2020,41
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2021,59
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2022,36
"STP","Sao Tome and Principe","Angola","Tobacco products","Tobacco products","Import value","1000 USD",2023,132
"STP","Sao Tome and Principe","Angola","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Vegetable products, fresh or dry n.e.c.","Import value","1000 USD",2023,1
"STP","Sao Tome and Principe","Bahamas","Fruits and nuts","Apples","Import value","1000 USD",2009,8
"STP","Sao Tome and Principe","Bahamas","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",2009,2
"STP","Sao Tome and Principe","Belgium","Fruits and nuts","Apples","Import value","1000 USD",2003,5
"STP","Sao Tome and Principe","Belgium","Fruits and nuts","Apples","Import value","1000 USD",2020,10
"STP","Sao Tome and Principe","Belgium","Fruits and nuts","Apples","Import value","1000 USD",2022,10
"STP","Sao Tome and Principe","Belgium","Beverages","Beverages","Export value","1000 USD",2023,1
"STP","Sao Tome and Principe","Belgium","Live animals","Chickens","Import value","1000 USD",2003,6
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2003,1024
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2009,1141
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2012,340
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2013,1019
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2014,2519
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2015,2265
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2017,1463
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2018,2052
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2019,133
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2020,1718
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2021,3499
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2022,2889
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Cocoa beans","Export value","1000 USD",2023,3327
"STP","Sao Tome and Principe","Belgium","Oilseeds and oleaginous fruits","Coconuts, in shell","Export value","1000 USD",2022,6
"STP","Sao Tome and Principe","Belgium","Stimulant, spice and aromatic crops","Coffee, green","Export value","1000 USD",2023,2
"STP","Sao Tome and Principe","Belgium","Oilseeds and oleaginous fruits","Copra","Export value","1000 USD",2020,1
"STP","Sao Tome and Principe","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2003,538
"STP","Sao Tome and Principe","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2009,200
"STP","Sao Tome and Principe","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2012,349
"STP","Sao Tome and Principe","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2013,213
"STP","Sao Tome and Principe","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2021,290
"STP","Sao Tome and Principe","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2023,1
"STP","Sao Tome and Principe","Belgium","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2003,1586
