"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"SUR","Suriname","Argentina","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2018,21
"SUR","Suriname","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2019,23
"SUR","Suriname","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2022,46
"SUR","Suriname","Argentina","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2024,17
"SUR","Suriname","Argentina","Cereals","Canary seed","Import value","1000 USD",2022,35
"SUR","Suriname","Argentina","Cereals","Cereals n.e.c.","Import value","1000 USD",2020,16
"SUR","Suriname","Argentina","Cereals","Cereals n.e.c.","Import value","1000 USD",2023,21
"SUR","Suriname","Argentina","Pulses (dried leguminous vegetables)","Chick peas, dry","Import value","1000 USD",2024,3
"SUR","Suriname","Argentina","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2010,596
"SUR","Suriname","Argentina","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2011,814
"SUR","Suriname","Argentina","Other animal products","Natural honey","Import value","1000 USD",2021,7
"SUR","Suriname","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2011,19
"SUR","Suriname","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2017,58
"SUR","Suriname","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2018,18
"SUR","Suriname","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2020,41
"SUR","Suriname","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2021,109
"SUR","Suriname","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2023,156
"SUR","Suriname","Argentina","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2024,125
"SUR","Suriname","Bahrain","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2010,13
"SUR","Suriname","Bahrain","Oilseeds and oleaginous fruits","Mustard seed","Import value","1000 USD",2010,1
"SUR","Suriname","Bahrain","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2011,52
"SUR","Suriname","Bahrain","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2010,17
"SUR","Suriname","Bangladesh","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2017,107
"SUR","Suriname","Bangladesh","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2018,77
"SUR","Suriname","Bangladesh","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2020,130
"SUR","Suriname","Bangladesh","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2021,63
"SUR","Suriname","Bangladesh","Live animals","Other live animals non food, n.e.c.","Export value","1000 USD",2022,51
"SUR","Suriname","Barbados","Fruits and nuts","Bananas","Export value","1000 USD",2021,379
"SUR","Suriname","Barbados","Fruits and nuts","Bananas","Export value","1000 USD",2022,217
"SUR","Suriname","Barbados","Beverages","Beverages","Import value","1000 USD",2018,1010
"SUR","Suriname","Barbados","Beverages","Beverages","Import value","1000 USD",2020,1433
"SUR","Suriname","Barbados","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2017,1198
"SUR","Suriname","Barbados","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2021,81
"SUR","Suriname","Belgium","Beverages","Beverages","Import value","1000 USD",2020,1199
"SUR","Suriname","Belgium","Beverages","Beverages","Import value","1000 USD",2024,1592
"SUR","Suriname","Belgium","Vegetables","Broad beans and horse beans, green","Export value","1000 USD",2023,12
"SUR","Suriname","Belgium","Vegetables","Broad beans and horse beans, green","Export value","1000 USD",2024,4
"SUR","Suriname","Belgium","Cereals","Canary seed","Import value","1000 USD",2017,7
"SUR","Suriname","Belgium","Cereals","Canary seed","Import value","1000 USD",2019,9
"SUR","Suriname","Belgium","Cereals","Canary seed","Import value","1000 USD",2023,2
"SUR","Suriname","Belgium","Cereals","Cereals n.e.c.","Import value","1000 USD",2017,18
"SUR","Suriname","Belgium","Cereals","Cereals n.e.c.","Import value","1000 USD",2018,7
"SUR","Suriname","Belgium","Cereals","Cereals n.e.c.","Import value","1000 USD",2019,16
"SUR","Suriname","Belgium","Cereals","Cereals n.e.c.","Import value","1000 USD",2020,17
"SUR","Suriname","Belgium","Cereals","Cereals n.e.c.","Import value","1000 USD",2021,18
"SUR","Suriname","Belgium","Dairy products and egg products","Dairy products and egg products","Import value","1000 USD",2020,691
"SUR","Suriname","Belgium","Fruits and nuts","Dates","Import value","1000 USD",2021,2
"SUR","Suriname","Belgium","Fruits and nuts","Dates","Import value","1000 USD",2023,2
"SUR","Suriname","Belgium","Other animal products","Natural honey","Import value","1000 USD",2020,20
"SUR","Suriname","Belgium","Other animal products","Natural honey","Import value","1000 USD",2021,25
"SUR","Suriname","Belgium","Other animal products","Natural honey","Import value","1000 USD",2022,6
"SUR","Suriname","Belgium","Other animal products","Natural honey","Import value","1000 USD",2023,20
"SUR","Suriname","Belgium","Other animal products","Natural honey","Import value","1000 USD",2024,39
"SUR","Suriname","Belgium","Live animals","Other live animals non food, n.e.c.","Import value","1000 USD",2020,2
"SUR","Suriname","Belgium","Live animals","Other live animals non food, n.e.c.","Import value","1000 USD",2024,4
"SUR","Suriname","Belgium","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Import value","1000 USD",2019,2
"SUR","Suriname","Belgium","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Import value","1000 USD",2020,1
"SUR","Suriname","Belgium","Oilseeds and oleaginous fruits","Other oil seeds, n.e.c.","Import value","1000 USD",2021,3
"SUR","Suriname","Belgium","Raw milk","Raw milk of cattle","Import value","1000 USD",2023,81
"SUR","Suriname","Belgium","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2017,25
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2010,87
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2011,154
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2017,86
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2018,73
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2019,75
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2020,57
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2021,51
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2022,51
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2023,70
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2024,58
"SUR","Suriname","Brazil","Beverages","Beverages","Export value","1000 USD",2017,1802
"SUR","Suriname","Brazil","Beverages","Beverages","Export value","1000 USD",2018,70
"SUR","Suriname","Brazil","Edible roots and tubers with high starch or inulin content","Cassava, dry","Import value","1000 USD",2011,8
"SUR","Suriname","Brazil","Cereals","Cereals n.e.c.","Import value","1000 USD",2019,4
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",2010,2
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",2011,6
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",2017,5
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",2020,5
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",2021,4
"SUR","Suriname","Brazil","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",2019,1
"SUR","Suriname","Brazil","Oilseeds and oleaginous fruits","Coconuts, in shell","Import value","1000 USD",2020,2
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2019,1
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2022,9
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2023,10
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Coffee, green","Import value","1000 USD",2024,18
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2024,86
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2010,3562
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2011,5293
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2017,3338
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2018,3412
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2019,3173
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2020,3581
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2021,3170
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2022,3936
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2023,5236
"SUR","Suriname","Brazil","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2024,7928
"SUR","Suriname","Brazil","Vegetables","Green garlic","Export value","1000 USD",2010,28
"SUR","Suriname","Brazil","Vegetables","Green garlic","Export value","1000 USD",2011,157
"SUR","Suriname","Brazil","Vegetables","Green garlic","Export value","1000 USD",2017,27
"SUR","Suriname","Brazil","Vegetables","Green garlic","Export value","1000 USD",2022,2
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Lentils, dry","Import value","1000 USD",2023,2
"SUR","Suriname","Brazil","Cereals","Maize (corn)","Import value","1000 USD",2024,191
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Export value","1000 USD",2023,802
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2010,10563
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2011,11816
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2017,5464
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2018,4820
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2019,5515
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2020,5261
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2021,6749
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2022,8494
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2023,10188
"SUR","Suriname","Brazil","Meat, fish, fruits, vegetables, oils and fats","Meat, fish, fruits, vegetables, oils and fats","Import value","1000 USD",2024,13515
"SUR","Suriname","Brazil","Vegetables","Other beans, green","Import value","1000 USD",2011,6
"SUR","Suriname","Brazil","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Other fibre crops, raw, n.e.c.","Import value","1000 USD",2022,4
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Other pulses n.e.c.","Import value","1000 USD",2010,14
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Other pulses n.e.c.","Import value","1000 USD",2021,1
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Other pulses n.e.c.","Import value","1000 USD",2022,5
"SUR","Suriname","Brazil","Pulses (dried leguminous vegetables)","Other pulses n.e.c.","Import value","1000 USD",2023,3
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2010,25
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2011,27
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2017,22
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2018,25
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Other stimulant, spice and aromatic crops, n.e.c.","Import value","1000 USD",2019,33
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",2010,3
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",2011,5
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",2022,7
"SUR","Suriname","Brazil","Stimulant, spice and aromatic crops","Pepper (Piper spp.), raw","Import value","1000 USD",2024,4
"SUR","Suriname","Brazil","Cereals","Rice","Export value","1000 USD",2017,2932
"SUR","Suriname","Brazil","Live animals","Sheep","Import value","1000 USD",2017,2
"SUR","Suriname","Brazil","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2020,29
"SUR","Suriname","Brazil","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2021,73
"SUR","Suriname","Brazil","Oilseeds and oleaginous fruits","Soya beans","Import value","1000 USD",2023,6
"SUR","Suriname","Brazil","Tobacco products","Tobacco products","Export value","1000 USD",2010,3
"SUR","Suriname","Brazil","Tobacco products","Tobacco products","Export value","1000 USD",2011,1906
"SUR","Suriname","Brazil","Tobacco products","Tobacco products","Export value","1000 USD",2017,572
"SUR","Suriname","Brazil","Tobacco products","Tobacco products","Export value","1000 USD",2019,33983
"SUR","Suriname","Brazil","Tobacco products","Tobacco products","Export value","1000 USD",2020,44720
"SUR","Suriname","Brazil","Tobacco products","Tobacco products","Export value","1000 USD",2021,52322
"SUR","Suriname","Brazil","Tobacco products","Tobacco products","Export value","1000 USD",2022,35824
"SUR","Suriname","Brazil","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2020,416
"SUR","Suriname","Brazil","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2021,495
"SUR","Suriname","Brazil","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2022,410
"SUR","Suriname","Brazil","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2023,585
"SUR","Suriname","Brazil","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Unmanufactured tobacco","Import value","1000 USD",2024,255
"SUR","Suriname","Belize","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2022,3750
"SUR","Suriname","Belize","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Import value","1000 USD",2024,3140
"SUR","Suriname","Belize","Cereals","Maize (corn)","Import value","1000 USD",2017,220
"SUR","Suriname","Bulgaria","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2020,31
"SUR","Suriname","Bulgaria","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2021,33
"SUR","Suriname","Bulgaria","Oilseeds and oleaginous fruits","Sunflower seed","Import value","1000 USD",2022,83
"SUR","Suriname","Canada","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2010,31
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2010,64
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2011,67
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2017,19
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2019,36
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2020,69
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2021,86
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2022,35
"SUR","Suriname","Canada","Cereals","Canary seed","Import value","1000 USD",2023,1
