"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"TJK","Tajikistan","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2022,98
"TJK","Tajikistan","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2023,93
"TJK","Tajikistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2019,2
"TJK","Tajikistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2023,8
"TJK","Tajikistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2017,7
"TJK","Tajikistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2021,136
"TJK","Tajikistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2022,140
"TJK","Tajikistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2023,169
"TJK","Tajikistan","Afghanistan","Fruits and nuts","Apples","Export value","1000 USD",2016,2
"TJK","Tajikistan","Afghanistan","Fruits and nuts","Apples","Export value","1000 USD",2018,1
"TJK","Tajikistan","Afghanistan","Fruits and nuts","Apples","Export value","1000 USD",2019,7
"TJK","Tajikistan","Afghanistan","Fruits and nuts","Apples","Export value","1000 USD",2020,71
"TJK","Tajikistan","Afghanistan","Live animals","Bees","Export value","1000 USD",2018,15
"TJK","Tajikistan","Afghanistan","Live animals","Bees","Export value","1000 USD",2019,15
"TJK","Tajikistan","Afghanistan","Live animals","Bees","Export value","1000 USD",2021,15
"TJK","Tajikistan","Afghanistan","Live animals","Bees","Export value","1000 USD",2022,5
"TJK","Tajikistan","Afghanistan","Live animals","Bees","Export value","1000 USD",2023,5
"TJK","Tajikistan","Afghanistan","Other animal products","Beeswax","Export value","1000 USD",2016,4
"TJK","Tajikistan","Afghanistan","Other animal products","Beeswax","Export value","1000 USD",2017,1
"TJK","Tajikistan","Afghanistan","Beverages","Beverages","Export value","1000 USD",2016,27
"TJK","Tajikistan","Afghanistan","Vegetables","Cabbages","Export value","1000 USD",2016,1
"TJK","Tajikistan","Afghanistan","Live animals","Camels","Import value","1000 USD",2021,4
"TJK","Tajikistan","Afghanistan","Vegetables","Cantaloupes and other melons","Export value","1000 USD",2016,5
"TJK","Tajikistan","Afghanistan","Vegetables","Cantaloupes and other melons","Export value","1000 USD",2017,31
"TJK","Tajikistan","Afghanistan","Vegetables","Cantaloupes and other melons","Export value","1000 USD",2018,11
