"ISO3","Area","ISOP","Partner","cpc_name1","Item","Element","Unit","Year","value"
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Cereals","Maize (corn)","Export value","1000 USD",1997,3
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Cereals","Maize (corn)","Export value","1000 USD",2002,11
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Cassava, dry","Export value","1000 USD",2010,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Export value","1000 USD",2010,3
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Potatoes","Export value","1000 USD",1994,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",1992,2
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",1994,18
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2004,4
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2005,2
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Edible roots and tubers with high starch or inulin content","Sweet potatoes","Export value","1000 USD",2010,2
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",1993,3
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",1997,7
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Jute, raw or retted","Export value","1000 USD",2015,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Natural rubber in primary forms","Export value","1000 USD",2017,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Forage, fibers, and other crops (CPC code 019)","Natural rubber in primary forms","Export value","1000 USD",2018,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Cashew nuts, in shell","Export value","1000 USD",1996,3
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Oranges","Export value","1000 USD",1993,8
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Oranges","Export value","1000 USD",1994,10
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Export value","1000 USD",2016,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Pineapples","Export value","1000 USD",1995,4
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Pineapples","Export value","1000 USD",2024,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Plantains and cooking bananas","Export value","1000 USD",1994,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Plantains and cooking bananas","Export value","1000 USD",1995,2
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Fruits and nuts","Tangerines, mandarins, clementines","Export value","1000 USD",1995,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Chickens","Export value","1000 USD",1997,4
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Chickens","Export value","1000 USD",2000,4
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Chickens","Export value","1000 USD",2001,11
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Chickens","Export value","1000 USD",2002,4
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Chickens","Export value","1000 USD",2004,2
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Goats","Export value","1000 USD",1992,2
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Goats","Export value","1000 USD",1993,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Goats","Export value","1000 USD",1995,1
"TTO","Trinidad and Tobago","ATG","Antigua and Barbuda","Live animals","Goats","Export value","1000 USD",1997,2
