"ISO3","Area","Partner","cpc_name1","Item","Element","Unit","Year","value"
"UZB","Uzbekistan","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2021,69
"UZB","Uzbekistan","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2022,1065
"UZB","Uzbekistan","Afghanistan","Fruits and nuts","Almonds, in shell","Import value","1000 USD",2023,678
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2019,14
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Export value","1000 USD",2021,13
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2020,286
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2021,286
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2022,448
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2023,1389
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Import value","1000 USD",2024,905
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2017,32332
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2018,39287
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2019,45488
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2020,40270
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2021,24378
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2022,24770
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2023,25309
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Export value","1000 USD",2024,139310
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2021,127
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Beans, dry","Import value","1000 USD",2024,641
"UZB","Uzbekistan","Afghanistan","Beverages","Beverages","Import value","1000 USD",2024,14820
"UZB","Uzbekistan","Afghanistan","Cereals","Buckwheat","Export value","1000 USD",2024,3
"UZB","Uzbekistan","Afghanistan","Cereals","Buckwheat","Import value","1000 USD",2024,3
"UZB","Uzbekistan","Afghanistan","Vegetables","Carrots and turnips","Import value","1000 USD",2021,28
"UZB","Uzbekistan","Afghanistan","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets","Export value","1000 USD",2018,9
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2017,5619
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2018,4144
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2019,7843
"UZB","Uzbekistan","Afghanistan","Pulses (dried leguminous vegetables)","Chick peas, dry","Export value","1000 USD",2020,2097
"UZB","Uzbekistan","Afghanistan","Live animals","Chickens","Export value","1000 USD",2018,12
"UZB","Uzbekistan","Afghanistan","Live animals","Chickens","Export value","1000 USD",2020,940
"UZB","Uzbekistan","Afghanistan","Live animals","Chickens","Export value","1000 USD",2021,447
"UZB","Uzbekistan","Afghanistan","Live animals","Chickens","Export value","1000 USD",2022,303
"UZB","Uzbekistan","Afghanistan","Live animals","Chickens","Export value","1000 USD",2024,584
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",2023,70
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Import value","1000 USD",2024,50
"UZB","Uzbekistan","Afghanistan","Stimulant, spice and aromatic crops","Cloves (whole stems), raw","Import value","1000 USD",2023,3
"UZB","Uzbekistan","Afghanistan","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Import value","1000 USD",2021,1123
"UZB","Uzbekistan","Afghanistan","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Import value","1000 USD",2022,1718
"UZB","Uzbekistan","Afghanistan","Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials","Cotton lint, ginned","Import value","1000 USD",2024,24
"UZB","Uzbekistan","Afghanistan","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2017,136
"UZB","Uzbekistan","Afghanistan","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2018,82
"UZB","Uzbekistan","Afghanistan","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2019,98
"UZB","Uzbekistan","Afghanistan","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2020,59
"UZB","Uzbekistan","Afghanistan","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2022,122
"UZB","Uzbekistan","Afghanistan","Dairy products and egg products","Dairy products and egg products","Export value","1000 USD",2023,340
"UZB","Uzbekistan","Afghanistan","Live animals","Goats","Import value","1000 USD",2021,44
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2017,47578
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2018,70844
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2019,104694
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2020,218848
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2021,281614
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2022,268772
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2023,449450
"UZB","Uzbekistan","Afghanistan","Grain mill products, starches and starch products; other food products","Grain mill products, starches and starch products; other food products","Export value","1000 USD",2024,515556
"UZB","Uzbekistan","Afghanistan","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",2017,3574
"UZB","Uzbekistan","Afghanistan","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",2018,6408
"UZB","Uzbekistan","Afghanistan","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",2019,1957
"UZB","Uzbekistan","Afghanistan","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",2020,2275
"UZB","Uzbekistan","Afghanistan","Oilseeds and oleaginous fruits","Groundnuts, excluding shelled","Export value","1000 USD",2021,714
"UZB","Uzbekistan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2017,14623
"UZB","Uzbekistan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2018,9234
"UZB","Uzbekistan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2019,4639
"UZB","Uzbekistan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2020,3023
"UZB","Uzbekistan","Afghanistan","Eggs of hens or other birds in shell, fresh","Hen eggs in shell, fresh","Export value","1000 USD",2021,5586
